release_order,current_path,proposed_release_path,workflow,status,tracked_in_initial_repository,file_size_bytes,generating_script,manuscript_use,zenodo_recommendation,recommendation_reason,dependencies,hard_coded_path_risk
15,code/bayes_ml_postprocessing_v2p1.py,code/comparison/bayes_ml_postprocessing_v2p1.py,comparison,final,False,82192,See workflow documentation,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
16,docs/README_Bayes_vs_ML_WQ.md,docs/methods/README_Bayes_vs_ML_WQ.md,comparison,active,True,4127,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
17,docs/workflows/comparison.md,docs/reproducibility/comparison.md,comparison,active,False,2473,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
18,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_icp_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_icp_bayes_vs_ml_faceted.jpg,comparison,final,True,207783,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
19,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_nh4_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_nh4_bayes_vs_ml_faceted.jpg,comparison,final,True,229413,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
20,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_no2_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_no2_bayes_vs_ml_faceted.jpg,comparison,final,True,232040,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
21,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_no3_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_no3_bayes_vs_ml_faceted.jpg,comparison,final,True,284289,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
22,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_nox_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_nox_bayes_vs_ml_faceted.jpg,comparison,final,True,205108,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
23,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_npoc_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_npoc_bayes_vs_ml_faceted.jpg,comparison,final,True,211971,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
24,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_op_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_op_bayes_vs_ml_faceted.jpg,comparison,final,True,246883,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
25,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_se_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_se_bayes_vs_ml_faceted.jpg,comparison,final,True,220623,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
26,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tds_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tds_bayes_vs_ml_faceted.jpg,comparison,final,True,243157,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
27,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tkn_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tkn_bayes_vs_ml_faceted.jpg,comparison,final,True,252581,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
28,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tn_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tn_bayes_vs_ml_faceted.jpg,comparison,final,True,235057,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
29,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tp_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tp_bayes_vs_ml_faceted.jpg,comparison,final,True,209301,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
30,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tsp_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tsp_bayes_vs_ml_faceted.jpg,comparison,final,True,206831,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
31,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_load_tss_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_load_tss_bayes_vs_ml_faceted.jpg,comparison,final,True,234112,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
32,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/annual_volume_bayes_vs_ml_faceted.jpg,figures/comparison/v2p1/annual/annual_volume_bayes_vs_ml_faceted.jpg,comparison,final,True,234987,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
33,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/gof_coverage_vs_width.jpg,figures/comparison/v2p1/annual/gof_coverage_vs_width.jpg,comparison,final,True,116957,code/annual_load_bayes_vs_ml.py,ML calibration/performance support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
34,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/gof_crps_norm_mean_by_analyte.jpg,figures/comparison/v2p1/annual/gof_crps_norm_mean_by_analyte.jpg,comparison,final,True,110397,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
35,figs/annual_bayes_vs_ml_faceted_jpg_v2p1/gof_nrmse_mean_by_analyte.jpg,figures/comparison/v2p1/annual/gof_nrmse_mean_by_analyte.jpg,comparison,final,True,124874,code/annual_load_bayes_vs_ml.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
36,figs/bayes_vs_ml_postprocessing_v2p1/concentration_rmse_original_units.png,figures/comparison/v2p1/concentration_rmse_original_units.png,comparison,final,False,232603,code/bayes_ml_postprocessing_v2p1.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
37,figs/bayes_vs_ml_postprocessing_v2p1/feature_importance_concentration.png,figures/comparison/v2p1/feature_importance_concentration.png,comparison,diagnostic,False,145618,code/bayes_ml_postprocessing_v2p1.py,Descriptive ML interpretation,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
38,figs/bayes_vs_ml_postprocessing_v2p1/feature_importance_volume.png,figures/comparison/v2p1/feature_importance_volume.png,comparison,diagnostic,False,168123,code/bayes_ml_postprocessing_v2p1.py,Descriptive ML interpretation,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
39,figs/bayes_vs_ml_postprocessing_v2p1/loyo_interval_coverage_by_year.png,figures/comparison/v2p1/loyo_interval_coverage_by_year.png,comparison,final,False,184954,code/bayes_ml_postprocessing_v2p1.py,ML calibration/performance support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
40,figs/bayes_vs_ml_postprocessing_v2p1/nrmse_mean_comparison.png,figures/comparison/v2p1/nrmse_mean_comparison.png,comparison,final,False,73250,code/bayes_ml_postprocessing_v2p1.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
41,figs/bayes_vs_ml_postprocessing_v2p1/study_period_cumulative_loads.png,figures/comparison/v2p1/study_period_cumulative_loads.png,comparison,final,False,299215,code/bayes_ml_postprocessing_v2p1.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
42,figs/bayes_vs_ml_postprocessing_v2p1/treatment_differences_vs_ct.png,figures/comparison/v2p1/treatment_differences_vs_ct.png,comparison,final,False,309142,code/bayes_ml_postprocessing_v2p1.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
43,out/bayes_vs_ml_metrics/metrics_by_analyte_overall.csv,results/legacy/metrics_by_analyte_overall.csv,comparison,active,True,4343,code/annual_load_bayes_vs_ml.py,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
44,out/bayes_vs_ml_metrics/metrics_by_analyte_treatment.csv,results/legacy/metrics_by_analyte_treatment.csv,comparison,active,True,13520,code/annual_load_bayes_vs_ml.py,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
45,out/bayes_vs_ml_metrics/metrics_overall.csv,results/legacy/metrics_overall.csv,comparison,active,True,467,code/annual_load_bayes_vs_ml.py,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
46,out/bayes_vs_ml_metrics_v2p1/metrics_by_analyte_overall.csv,results/comparison/v2p1/annual_agreement_inputs/metrics_by_analyte_overall.csv,comparison,final,True,4431,code/annual_load_bayes_vs_ml.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
47,out/bayes_vs_ml_metrics_v2p1/metrics_by_analyte_treatment.csv,results/comparison/v2p1/annual_agreement_inputs/metrics_by_analyte_treatment.csv,comparison,final,True,13926,code/annual_load_bayes_vs_ml.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
48,out/bayes_vs_ml_metrics_v2p1/metrics_overall.csv,results/comparison/v2p1/annual_agreement_inputs/metrics_overall.csv,comparison,final,True,511,code/annual_load_bayes_vs_ml.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
49,out/bayes_vs_ml_metrics_v2p1/spearman_by_analyte_pub.csv,results/comparison/v2p1/annual_agreement_inputs/spearman_by_analyte_pub.csv,comparison,final,False,423,code/annual_load_bayes_vs_ml.py,Temporal agreement table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
50,out/bayes_vs_ml_metrics_v2p1/spearman_by_analyte_treatment.csv,results/comparison/v2p1/annual_agreement_inputs/spearman_by_analyte_treatment.csv,comparison,final,False,2137,code/annual_load_bayes_vs_ml.py,Temporal agreement table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
51,out/bayes_vs_ml_metrics_v2p1/volume_metrics_by_treatment.csv,results/comparison/v2p1/annual_agreement_inputs/volume_metrics_by_treatment.csv,comparison,final,True,1028,code/annual_load_bayes_vs_ml.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
52,out/bayes_vs_ml_metrics_v2p1/volume_metrics_overall.csv,results/comparison/v2p1/annual_agreement_inputs/volume_metrics_overall.csv,comparison,final,True,439,code/annual_load_bayes_vs_ml.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
53,out/bayes_vs_ml_postprocessing_v2p1/annual_concentration_performance_raw.csv,results/comparison/v2p1/annual_concentration_performance_raw.csv,comparison,final,False,5498,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
54,out/bayes_vs_ml_postprocessing_v2p1/annual_load_agreement_by_analyte_raw.csv,results/comparison/v2p1/annual_load_agreement_by_analyte_raw.csv,comparison,final,False,4406,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
55,out/bayes_vs_ml_postprocessing_v2p1/annual_load_agreement_metrics_raw.csv,results/comparison/v2p1/annual_load_agreement_metrics_raw.csv,comparison,final,False,13766,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
56,out/bayes_vs_ml_postprocessing_v2p1/annual_summary_reconciliation.csv,results/comparison/v2p1/annual_summary_reconciliation.csv,comparison,final,False,5992,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
57,out/bayes_vs_ml_postprocessing_v2p1/annual_volume_performance_raw.csv,results/comparison/v2p1/annual_volume_performance_raw.csv,comparison,final,False,434,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
58,out/bayes_vs_ml_postprocessing_v2p1/bayes_nonnegative_sensitivity_pub.csv,results/comparison/v2p1/bayes_nonnegative_sensitivity_pub.csv,comparison,final,False,7007,code/bayes_ml_postprocessing_v2p1.py,Bayesian nonnegative-load sensitivity,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
59,out/bayes_vs_ml_postprocessing_v2p1/catboost_feature_importance_pub.csv,results/comparison/v2p1/catboost_feature_importance_pub.csv,comparison,diagnostic,False,1070,code/bayes_ml_postprocessing_v2p1.py,Descriptive ML interpretation,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
60,out/bayes_vs_ml_postprocessing_v2p1/catboost_feature_importance_raw.csv,results/comparison/v2p1/catboost_feature_importance_raw.csv,comparison,diagnostic,False,14051,code/bayes_ml_postprocessing_v2p1.py,Descriptive ML interpretation,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
61,out/bayes_vs_ml_postprocessing_v2p1/comparison_table_footnotes.md,results/comparison/v2p1/comparison_table_footnotes.md,comparison,final,False,2607,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
62,out/bayes_vs_ml_postprocessing_v2p1/input_audit.csv,results/comparison/v2p1/input_audit.csv,comparison,diagnostic,False,15660,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
63,out/bayes_vs_ml_postprocessing_v2p1/loyo_interval_calibration_pub.csv,results/comparison/v2p1/loyo_interval_calibration_pub.csv,comparison,final,False,1204,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
64,out/bayes_vs_ml_postprocessing_v2p1/loyo_interval_calibration_raw.csv,results/comparison/v2p1/loyo_interval_calibration_raw.csv,comparison,final,False,4703,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
65,out/bayes_vs_ml_postprocessing_v2p1/manuscript_review_tables_v2p1.xlsx,results/comparison/v2p1/manuscript_review_tables_v2p1.xlsx,comparison,final,False,20003,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
66,out/bayes_vs_ml_postprocessing_v2p1/master_cumulative_loads_annual_truncation_pub.csv,results/comparison/v2p1/master_cumulative_loads_annual_truncation_pub.csv,comparison,final,False,4194,code/bayes_ml_postprocessing_v2p1.py,Primary cumulative-load manuscript review table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
67,out/bayes_vs_ml_postprocessing_v2p1/master_cumulative_loads_raw_bound_floor_pub.csv,results/comparison/v2p1/master_cumulative_loads_raw_bound_floor_pub.csv,comparison,final,False,4198,code/bayes_ml_postprocessing_v2p1.py,Primary cumulative-load manuscript review table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
68,out/bayes_vs_ml_postprocessing_v2p1/observed_study_period_subtotals_raw.csv,results/comparison/v2p1/observed_study_period_subtotals_raw.csv,comparison,final,False,15276,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
69,out/bayes_vs_ml_postprocessing_v2p1/observed_subtotal_differences_vs_ct_raw.csv,results/comparison/v2p1/observed_subtotal_differences_vs_ct_raw.csv,comparison,final,False,3246,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
70,out/bayes_vs_ml_postprocessing_v2p1/performance_comparison_pub.csv,results/comparison/v2p1/performance_comparison_pub.csv,comparison,final,False,1726,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
71,out/bayes_vs_ml_postprocessing_v2p1/postprocessing_data_dictionary.csv,results/comparison/v2p1/postprocessing_data_dictionary.csv,comparison,final,False,58963,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
72,out/bayes_vs_ml_postprocessing_v2p1/postprocessing_run_metadata.json,results/comparison/v2p1/postprocessing_run_metadata.json,comparison,final,False,724,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
73,out/bayes_vs_ml_postprocessing_v2p1/postprocessing_validation_report.md,results/comparison/v2p1/postprocessing_validation_report.md,comparison,final,False,7126,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
74,out/bayes_vs_ml_postprocessing_v2p1/spearman_by_analyte_pub.csv,results/comparison/v2p1/spearman_by_analyte_pub.csv,comparison,final,False,393,code/bayes_ml_postprocessing_v2p1.py,Temporal agreement table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
