Year,Treatment,Rep,Location,Dry Mass (g),Square Frame Area (m^2),Residue_DryMass_kg_m2,Residue_PercentCover
2021,MT,1,S,54.5,1.5,0.036333333,80
2021,ST,1,N,117,1.5,0.078,72
2021,ST,1,M,65.5,1.5,0.043666667,65
2021,ST,1,S,120,1.5,0.08,71
2021,MT,2,N,52,1.5,0.034666667,86
2021,MT,2,M,50,1.5,0.033333333,80
2021,MT,2,S,110,1.5,0.073333333,82
2021,ST,2,N,110,1.5,0.073333333,74
2021,ST,2,M,74,1.5,0.049333333,68
2021,ST,2,S,44.5,1.5,0.029666667,66
2021,CT,2,N,0,1.5,0,1
2021,CT,2,M,4,1.5,0.002666667,5
2021,CT,2,S,0,1.5,0,6
2022,CT,1,N,3,1,0.003,2
2022,CT,1,M,8,1,0.008,7
2022,CT ,1,S,13.5,1,0.0135,8
2022,MT,1,N,71.5,1,0.0715,16
2022,MT,1,M,54,1,0.054,30
2022,MT,1,S,109,1,0.109,34
2022,ST,1,N,101,1,0.101,29
2022,ST,1,M,54.5,1,0.0545,25
2022,ST,1,S,70,1,0.07,28
2022,MT,2,N,208.5,1,0.2085,45
2022,MT,2,M,90,1,0.09,37
2022,MT,2,S,100,1,0.1,44
2022,ST,2,N,160,1,0.16,31
2022,ST,2,M,96,1,0.096,29
2022,ST,2,S,25,1,0.025,32
2022,CT,2,N,10,1,0.01,8
2022,CT,2,M,38.5,1,0.0385,10
2022,CT,2,S,4.5,1,0.0045,6
2023,CT,1,N,30,1,0.03,15
2023,CT,1,M,22.5,1,0.0225,5
2023,CT ,1,S,24.5,1,0.0245,11
2023,MT,1,N,74.5,1,0.0745,9
2023,MT,1,M,51,1,0.051,24
2023,MT,1,S,78.5,1,0.0785,20
2023,ST,1,N,63,1,0.063,48
2023,ST,1,M,137.5,1,0.1375,24
2023,ST,1,S,210.5,1,0.2105,37
2023,MT,2,N,182,1,0.182,23
2023,MT,2,M,88.5,1,0.0885,34
2023,MT,2,S,216.5,1,0.2165,21
2023,ST,2,N,100,1,0.1,36
2023,ST,2,M,125,1,0.125,18
2023,ST,2,S,92.5,1,0.0925,32
2023,CT,2,N,2,1,0.002,3
2023,CT,2,M,2.5,1,0.0025,3
2023,CT,2,S,2,1,0.002,1
2024,CT,1,N,NA,1,NA,NA
2024,CT,1,M,NA,1,NA,NA
2024,CT ,1,S,NA,1,NA,NA
2024,MT,1,N,NA,1,NA,NA
2024,MT,1,M,NA,1,NA,NA
2024,MT,1,S,NA,1,NA,NA
2024,ST,1,N,NA,1,NA,NA
2024,ST,1,M,NA,1,NA,NA
2024,ST,1,S,NA,1,NA,NA
2024,MT,2,N,NA,1,NA,NA
2024,MT,2,M,NA,1,NA,NA
2024,MT,2,S,NA,1,NA,NA
2024,ST,2,N,NA,1,NA,NA
2024,ST,2,M,NA,1,NA,NA
2024,ST,2,S,NA,1,NA,NA
2024,CT,2,N,NA,1,NA,NA
2024,CT,2,M,NA,1,NA,NA
2024,CT,2,S,NA,1,NA,NA
2025,CT,1,N,6.81,1,0.00681,4
2025,CT,1,M,10.16,1,0.01016,6
2025,CT ,1,S,17.6,1,0.0176,4
2025,MT,1,N,157.58,1,0.15758,53
2025,MT,1,M,401.03,1,0.40103,49
2025,MT,1,S,466.58,1,0.46658,51
2025,ST,1,N,178.16,1,0.17816,51
2025,ST,1,M,293.61,1,0.29361,37
2025,ST,1,S,137.94,1,0.13794,31
2025,MT,2,N,110.45,1,0.11045,45
2025,MT,2,M,217.67,1,0.21767,65
2025,MT,2,S,823.8,1,0.8238,51
2025,ST,2,N,104.17,1,0.10417,33
2025,ST,2,M,124.81,1,0.12481,51
2025,ST,2,S,63.1,1,0.0631,37
2025,CT,2,N,14.88,1,0.01488,8
2025,CT,2,M,9.85,1,0.00985,0
2025,CT,2,S,12.43,1,0.01243,0
