Year,Treatment,Rep,Location,Residue_DryMass_kg_m2,Residue_PercentCover
2013,CT,1,S,1.5,15.0
2013,CT,2,N,1.5,15.0
2013,CT,2,N,1.5,15.0
2013,CT,2,M,1.5,15.0
2013,CT,2,M,1.5,15.0
2013,CT,2,S,1.5,15.0
2013,CT,2,S,1.5,15.0
2013,MT,1,N,1.5,15.0
2013,MT,1,N,1.5,15.0
2013,MT,1,M,1.5,15.0
2013,MT,1,M,1.5,15.0
2013,MT,1,S,1.5,15.0
2013,MT,1,S,1.5,15.0
2013,MT,2,N,1.5,15.0
2013,MT,2,N,1.5,15.0
2013,MT,2,M,1.5,15.0
2013,MT,2,M,1.5,15.0
2013,MT,2,S,1.5,15.0
2013,MT,2,S,1.5,15.0
2013,ST,1,N,1.5,15.0
2013,ST,1,N,1.5,15.0
2013,ST,1,M,1.5,15.0
2013,ST,1,M,1.5,15.0
2013,ST,1,S,1.5,15.0
2013,ST,1,S,1.5,15.0
2013,ST,2,N,1.5,15.0
2013,ST,2,N,1.5,15.0
2013,ST,2,M,1.5,15.0
2013,ST,2,M,1.5,15.0
2013,ST,2,S,1.5,15.0
2013,ST,2,S,1.5,15.0
2014,CT,1,N,1.5,15.0
2014,CT,1,N,1.5,15.0
2014,CT,1,M,1.5,15.0
2014,CT,1,M,1.5,15.0
2014,CT,1,S,1.5,15.0
2014,CT,1,S,1.5,15.0
2014,CT,2,N,1.5,15.0
2014,CT,2,N,1.5,15.0
2014,CT,2,M,1.5,15.0
2014,CT,2,M,1.5,15.0
2014,CT,2,S,1.5,15.0
2014,CT,2,S,1.5,15.0
2014,MT,1,N,1.5,15.0
2014,MT,1,N,1.5,15.0
2014,MT,1,M,1.5,15.0
2014,MT,1,M,1.5,15.0
2014,MT,1,S,1.5,15.0
2014,MT,1,S,1.5,15.0
2014,MT,2,N,1.5,15.0
2014,MT,2,N,1.5,15.0
2014,MT,2,M,1.5,15.0
2014,MT,2,M,1.5,15.0
2014,MT,2,S,1.5,15.0
2014,MT,2,S,1.5,15.0
2014,ST,1,N,1.5,15.0
2014,ST,1,N,1.5,15.0
2014,ST,1,M,1.5,15.0
2014,ST,1,M,1.5,15.0
2014,ST,1,S,1.5,15.0
2014,ST,1,S,1.5,15.0
2014,ST,2,N,1.5,15.0
2014,ST,2,N,1.5,15.0
2014,ST,2,M,1.5,15.0
2014,ST,2,M,1.5,15.0
2014,ST,2,S,1.5,15.0
2014,ST,2,S,1.5,15.0
2015,CT,1,N,1.5,15.0
2015,CT,1,N,1.5,15.0
2015,CT,1,M,1.5,15.0
2015,CT,1,M,1.5,15.0
2015,CT,1,S,1.5,15.0
2015,CT,1,S,1.5,15.0
2015,CT,2,N,1.5,15.0
2015,CT,2,N,1.5,15.0
2015,CT,2,M,1.5,15.0
2015,CT,2,M,1.5,15.0
2015,CT,2,S,1.5,15.0
2015,CT,2,S,1.5,15.0
2015,MT,1,N,1.5,15.0
2015,MT,1,N,1.5,15.0
2015,MT,1,M,1.5,15.0
2015,MT,1,M,1.5,15.0
2015,MT,1,S,1.5,15.0
2015,MT,1,S,1.5,15.0
2015,MT,2,N,1.5,15.0
2015,MT,2,N,1.5,15.0
2015,MT,2,M,1.5,15.0
2015,MT,2,M,1.5,15.0
2015,MT,2,S,1.5,15.0
2015,MT,2,S,1.5,15.0
2015,ST,1,N,1.5,15.0
2015,ST,1,N,1.5,15.0
2015,ST,1,M,1.5,15.0
2015,ST,1,M,1.5,15.0
2015,ST,1,S,1.5,15.0
2015,ST,1,S,1.5,15.0
2015,ST,2,N,1.5,15.0
2015,ST,2,N,1.5,15.0
2015,ST,2,M,1.5,15.0
2015,ST,2,M,1.5,15.0
2015,ST,2,S,1.5,15.0
2015,ST,2,S,1.5,15.0
2016,CT,1,N,1.5,15.0
2016,CT,1,N,1.5,15.0
2016,CT,1,M,1.5,15.0
2016,CT,1,M,1.5,15.0
2016,CT,1,S,1.5,15.0
2016,CT,1,S,1.5,15.0
2016,CT,2,N,1.5,15.0
2016,CT,2,N,1.5,15.0
2016,CT,2,M,1.5,15.0
2016,CT,2,M,1.5,15.0
2016,CT,2,S,1.5,15.0
2016,CT,2,S,1.5,15.0
2016,MT,1,N,1.5,15.0
2016,MT,1,N,1.5,15.0
2016,MT,1,M,1.5,15.0
2016,MT,1,M,1.5,15.0
2016,MT,1,S,1.5,15.0
2016,MT,1,S,1.5,15.0
2016,MT,2,N,1.5,15.0
2016,MT,2,N,1.5,15.0
2016,MT,2,M,1.5,15.0
2016,MT,2,M,1.5,15.0
2016,MT,2,S,1.5,15.0
2016,MT,2,S,1.5,15.0
2016,ST,1,N,1.5,15.0
2016,ST,1,N,1.5,15.0
2016,ST,1,M,1.5,15.0
2016,ST,1,M,1.5,15.0
2016,ST,1,S,1.5,15.0
2016,ST,1,S,1.5,15.0
2016,ST,2,N,1.5,15.0
2016,ST,2,N,1.5,15.0
2016,ST,2,M,1.5,15.0
2016,ST,2,M,1.5,15.0
2016,ST,2,S,1.5,15.0
2016,ST,2,S,1.5,15.0
2017,CT,1,N,1.5,15.0
2017,CT,1,N,1.5,15.0
2017,CT,1,M,1.5,15.0
2017,CT,1,M,1.5,15.0
2017,CT,1,S,1.5,15.0
2017,CT,1,S,1.5,15.0
2017,CT,2,N,1.5,15.0
2017,CT,2,N,1.5,15.0
2017,CT,2,M,1.5,15.0
2017,CT,2,M,1.5,15.0
2017,CT,2,S,1.5,15.0
2017,CT,2,S,1.5,15.0
2017,MT,1,N,1.5,15.0
2017,MT,1,N,1.5,15.0
2017,MT,1,M,1.5,15.0
2017,MT,1,M,1.5,15.0
2017,MT,1,S,1.5,15.0
2017,MT,1,S,1.5,15.0
2017,MT,2,N,1.5,15.0
2017,MT,2,N,1.5,15.0
2017,MT,2,M,1.5,15.0
2017,MT,2,M,1.5,15.0
2017,MT,2,S,1.5,15.0
2017,MT,2,S,1.5,15.0
2017,ST,1,N,1.5,15.0
2017,ST,1,N,1.5,15.0
2017,ST,1,M,1.5,15.0
2017,ST,1,M,1.5,15.0
2017,ST,1,S,1.5,15.0
2017,ST,1,S,1.5,15.0
2017,ST,2,N,1.5,15.0
2017,ST,2,N,1.5,15.0
2017,ST,2,M,1.5,15.0
2017,ST,2,M,1.5,15.0
2017,ST,2,S,1.5,15.0
2017,ST,2,S,1.5,15.0
2018,CT,1,N,1.5,15.0
2018,CT,1,N,1.5,15.0
2018,CT,1,M,1.5,15.0
2018,CT,1,M,1.5,15.0
2018,CT,1,S,1.5,15.0
2018,CT,1,S,1.5,15.0
2018,CT,2,N,1.5,15.0
2018,CT,2,N,1.5,15.0
2018,CT,2,M,1.5,15.0
2018,CT,2,M,1.5,15.0
2018,CT,2,S,1.5,15.0
2018,CT,2,S,1.5,15.0
2018,MT,1,N,1.5,15.0
2018,MT,1,N,1.5,15.0
2018,MT,1,M,1.5,15.0
2018,MT,1,M,1.5,15.0
2018,MT,1,S,1.5,15.0
2018,MT,1,S,1.5,15.0
2018,MT,2,N,1.5,15.0
2018,MT,2,N,1.5,15.0
2018,MT,2,M,1.5,15.0
2018,MT,2,M,1.5,15.0
2018,MT,2,S,1.5,15.0
2018,MT,2,S,1.5,15.0
2018,ST,1,N,1.5,15.0
2018,ST,1,N,1.5,15.0
2018,ST,1,M,1.5,15.0
2018,ST,1,M,1.5,15.0
2018,ST,1,S,1.5,15.0
2018,ST,1,S,1.5,15.0
2018,ST,2,N,1.5,15.0
2018,ST,2,N,1.5,15.0
2018,ST,2,M,1.5,15.0
2018,ST,2,M,1.5,15.0
2018,ST,2,S,1.5,15.0
2018,ST,2,S,1.5,15.0
2019,CT,1,N,1.5,15.0
2019,CT,1,N,1.5,15.0
2019,CT,1,M,1.5,15.0
2019,CT,1,M,1.5,15.0
2019,CT,1,S,1.5,15.0
2019,CT,1,S,1.5,15.0
2019,CT,2,N,1.5,15.0
2019,CT,2,N,1.5,15.0
2019,CT,2,M,1.5,15.0
2019,CT,2,M,1.5,15.0
2019,CT,2,S,1.5,15.0
2019,CT,2,S,1.5,15.0
2019,MT,1,N,1.5,15.0
2019,MT,1,N,1.5,15.0
2019,MT,1,M,1.5,15.0
2019,MT,1,M,1.5,15.0
2019,MT,1,S,1.5,15.0
2019,MT,1,S,1.5,15.0
2019,MT,2,N,1.5,15.0
2019,MT,2,N,1.5,15.0
2019,MT,2,M,1.5,15.0
2019,MT,2,M,1.5,15.0
2019,MT,2,S,1.5,15.0
2019,MT,2,S,1.5,15.0
2019,ST,1,N,1.5,15.0
2019,ST,1,N,1.5,15.0
2019,ST,1,M,1.5,15.0
2019,ST,1,M,1.5,15.0
2019,ST,1,S,1.5,15.0
2019,ST,1,S,1.5,15.0
2019,ST,2,N,1.5,15.0
2019,ST,2,N,1.5,15.0
2019,ST,2,M,1.5,15.0
2019,ST,2,M,1.5,15.0
2019,ST,2,S,1.5,15.0
2019,ST,2,S,1.5,15.0
2020,CT,1,N,1.5,15.0
2020,CT,1,N,1.5,15.0
2020,CT,1,M,1.5,15.0
2020,CT,1,M,1.5,15.0
2020,CT,1,S,1.5,15.0
2020,CT,1,S,1.5,15.0
2020,CT,2,N,1.5,15.0
2020,CT,2,N,1.5,15.0
2020,CT,2,M,1.5,15.0
2020,CT,2,M,1.5,15.0
2020,CT,2,S,1.5,15.0
2020,CT,2,S,1.5,15.0
2020,MT,1,N,1.5,15.0
2020,MT,1,N,1.5,15.0
2020,MT,1,M,1.5,15.0
2020,MT,1,M,1.5,15.0
2020,MT,1,S,1.5,15.0
2020,MT,1,S,1.5,15.0
2020,MT,2,N,1.5,15.0
2020,MT,2,N,1.5,15.0
2020,MT,2,M,1.5,15.0
2020,MT,2,M,1.5,15.0
2020,MT,2,S,1.5,15.0
2020,MT,2,S,1.5,15.0
2020,ST,1,N,1.5,15.0
2020,ST,1,N,1.5,15.0
2020,ST,1,M,1.5,15.0
2020,ST,1,M,1.5,15.0
2020,ST,1,S,1.5,15.0
2020,ST,1,S,1.5,15.0
2020,ST,2,N,1.5,15.0
2020,ST,2,N,1.5,15.0
2020,ST,2,M,1.5,15.0
2020,ST,2,M,1.5,15.0
2020,ST,2,S,1.5,15.0
2020,ST,2,S,1.5,15.0
2021,CT,1,N,1.5,15.0
2021,CT,1,N,1.5,15.0
2021,CT,1,M,1.5,15.0
2021,CT,1,M,1.5,15.0
2021,CT,1,S,1.5,15.0
2021,CT,1,S,1.5,15.0
2021,CT,2,N,1.5,15.0
2021,CT,2,N,1.5,15.0
2021,CT,2,M,1.5,15.0
2021,CT,2,M,1.5,15.0
2021,CT,2,S,1.5,15.0
2021,CT,2,S,1.5,15.0
2021,MT,1,N,1.5,15.0
2021,MT,1,N,1.5,15.0
2021,MT,1,M,1.5,15.0
2021,MT,1,M,1.5,15.0
2021,MT,1,S,1.5,15.0
2021,MT,1,S,1.5,15.0
2021,MT,2,N,1.5,15.0
2021,MT,2,N,1.5,15.0
2021,MT,2,M,1.5,15.0
2021,MT,2,M,1.5,15.0
2021,MT,2,S,1.5,15.0
2021,MT,2,S,1.5,15.0
2021,ST,1,N,1.5,15.0
2021,ST,1,N,1.5,15.0
2021,ST,1,M,1.5,15.0
2021,ST,1,M,1.5,15.0
2021,ST,1,S,1.5,15.0
2021,ST,1,S,1.5,15.0
2021,ST,2,N,1.5,15.0
2021,ST,2,N,1.5,15.0
2021,ST,2,M,1.5,15.0
2021,ST,2,M,1.5,15.0
2021,ST,2,S,1.5,15.0
2021,ST,2,S,1.5,15.0
2022,CT,1,N,1.5,15.0
2022,CT,1,N,1.5,15.0
2022,CT,1,M,1.5,15.0
2022,CT,1,M,1.5,15.0
2022,CT,1,S,1.5,15.0
2022,CT,1,S,1.5,15.0
2022,CT,2,N,1.5,15.0
2022,CT,2,N,1.5,15.0
2022,CT,2,M,1.5,15.0
2022,CT,2,M,1.5,15.0
2022,CT,2,S,1.5,15.0
2022,CT,2,S,1.5,15.0
2022,MT,1,N,1.5,15.0
2022,MT,1,N,1.5,15.0
2022,MT,1,M,1.5,15.0
2022,MT,1,M,1.5,15.0
2022,MT,1,S,1.5,15.0
2022,MT,1,S,1.5,15.0
2022,MT,2,N,1.5,15.0
2022,MT,2,N,1.5,15.0
2022,MT,2,M,1.5,15.0
2022,MT,2,M,1.5,15.0
2022,MT,2,S,1.5,15.0
2022,MT,2,S,1.5,15.0
2022,ST,1,N,1.5,15.0
2022,ST,1,N,1.5,15.0
2022,ST,1,M,1.5,15.0
2022,ST,1,M,1.5,15.0
2022,ST,1,S,1.5,15.0
2022,ST,1,S,1.5,15.0
2022,ST,2,N,1.5,15.0
2022,ST,2,N,1.5,15.0
2022,ST,2,M,1.5,15.0
2022,ST,2,M,1.5,15.0
2022,ST,2,S,1.5,15.0
2022,ST,2,S,1.5,15.0
2023,CT,1,N,1.5,15.0
2023,CT,1,N,1.5,15.0
2023,CT,1,M,1.5,15.0
2023,CT,1,M,1.5,15.0
2023,CT,1,S,1.5,15.0
2023,CT,1,S,1.5,15.0
2023,CT,2,N,1.5,15.0
2023,CT,2,N,1.5,15.0
2023,CT,2,M,1.5,15.0
2023,CT,2,M,1.5,15.0
2023,CT,2,S,1.5,15.0
2023,CT,2,S,1.5,15.0
2023,MT,1,N,1.5,15.0
2023,MT,1,N,1.5,15.0
2023,MT,1,M,1.5,15.0
2023,MT,1,M,1.5,15.0
2023,MT,1,S,1.5,15.0
2023,MT,1,S,1.5,15.0
2023,MT,2,N,1.5,15.0
2023,MT,2,N,1.5,15.0
2023,MT,2,M,1.5,15.0
2023,MT,2,M,1.5,15.0
2023,MT,2,S,1.5,15.0
2023,MT,2,S,1.5,15.0
2023,ST,1,N,1.5,15.0
2023,ST,1,N,1.5,15.0
2023,ST,1,M,1.5,15.0
2023,ST,1,M,1.5,15.0
2023,ST,1,S,1.5,15.0
2023,ST,1,S,1.5,15.0
2023,ST,2,N,1.5,15.0
2023,ST,2,N,1.5,15.0
2023,ST,2,M,1.5,15.0
2023,ST,2,M,1.5,15.0
2023,ST,2,S,1.5,15.0
2023,ST,2,S,1.5,15.0
2024,CT,1,N,1.5,15.0
2024,CT,1,N,1.5,15.0
2024,CT,1,M,1.5,15.0
2024,CT,1,M,1.5,15.0
2024,CT,1,S,1.5,15.0
2024,CT,1,S,1.5,15.0
2024,CT,2,N,1.5,15.0
2024,CT,2,N,1.5,15.0
2024,CT,2,M,1.5,15.0
2024,CT,2,M,1.5,15.0
2024,CT,2,S,1.5,15.0
2024,CT,2,S,1.5,15.0
2024,MT,1,N,1.5,15.0
2024,MT,1,N,1.5,15.0
2024,MT,1,M,1.5,15.0
2024,MT,1,M,1.5,15.0
2024,MT,1,S,1.5,15.0
2024,MT,1,S,1.5,15.0
2024,MT,2,N,1.5,15.0
2024,MT,2,N,1.5,15.0
2024,MT,2,M,1.5,15.0
2024,MT,2,M,1.5,15.0
2024,MT,2,S,1.5,15.0
2024,MT,2,S,1.5,15.0
2024,ST,1,N,1.5,15.0
2024,ST,1,N,1.5,15.0
2024,ST,1,M,1.5,15.0
2024,ST,1,M,1.5,15.0
2024,ST,1,S,1.5,15.0
2024,ST,1,S,1.5,15.0
2024,ST,2,N,1.5,15.0
2024,ST,2,N,1.5,15.0
2024,ST,2,M,1.5,15.0
2024,ST,2,M,1.5,15.0
2024,ST,2,S,1.5,15.0
2024,ST,2,S,1.5,15.0
2025,CT,1,N,1.5,15.0
2025,CT,1,N,1.5,15.0
2025,CT,1,M,1.5,15.0
2025,CT,1,M,1.5,15.0
2025,CT,1,S,1.5,15.0
2025,CT,1,S,1.5,15.0
2025,CT,2,N,1.5,15.0
2025,CT,2,N,1.5,15.0
2025,CT,2,M,1.5,15.0
2025,CT,2,M,1.5,15.0
2025,CT,2,S,1.5,15.0
2025,CT,2,S,1.5,15.0
2025,MT,1,N,1.5,15.0
2025,MT,1,N,1.5,15.0
2025,MT,1,M,1.5,15.0
2025,MT,1,M,1.5,15.0
2025,MT,1,S,1.5,15.0
2025,MT,1,S,1.5,15.0
2025,MT,2,N,1.5,15.0
2025,MT,2,N,1.5,15.0
2025,MT,2,M,1.5,15.0
2025,MT,2,M,1.5,15.0
2025,MT,2,S,1.5,15.0
2025,MT,2,S,1.5,15.0
2025,ST,1,N,1.5,15.0
2025,ST,1,N,1.5,15.0
2025,ST,1,M,1.5,15.0
2025,ST,1,M,1.5,15.0
2025,ST,1,S,1.5,15.0
2025,ST,1,S,1.5,15.0
2025,ST,2,N,1.5,15.0
2025,ST,2,N,1.5,15.0
2025,ST,2,M,1.5,15.0
2025,ST,2,M,1.5,15.0
2025,ST,2,S,1.5,15.0
2025,ST,2,S,1.5,15.0
