,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
6/30/2011,2011,1,1,ST,OUT,ST1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.109,1.261,0.127,NA,7.633,NA,NA,10.067,NA,NA,NA,NA,NA,798.253,4717,GBW,Ruler,Siphon,Weir,514.153,5946.565,599.059,#VALUE!,36006.433,#VALUE!,#VALUE!,47484.467,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3765360.973,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: ST1-T1, ST1-T2, ST1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. "
7/1/2011,2011,1,2,CT,OUT,CT2-01-0T,FALSE,AC,FALSE,NA,FALSE,0.08,3.337,0.093,NA,7,NA,NA,10.803,NA,NA,NA,NA,NA,1149.12,7426.17,GBW,Transducer,Siphon,Weir,594.094,24783.605,688.158,#VALUE!,51983.19,#VALUE!,#VALUE!,80227.39,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8533560.47,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. "
7/1/2011,2011,1,2,MT,OUT,NT2-01-OT,FALSE,AC,FALSE,NA,FALSE,0.077,1.09,0.099,NA,8.967,NA,NA,12.047,NA,NA,NA,NA,NA,542.16,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: NT2-T1, NT2-T2, NT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. NT represents No Till"
7/1/2011,2011,1,2,ST,OUT,ST2-01-OT,FALSE,AC,FALSE,NA,FALSE,0.118,0.9,0.153,NA,7.6,NA,NA,10.713,NA,NA,NA,NA,NA,233.333,5733,GBW,Ruler,Siphon,Weir,674.583,5159.7,875.238,#VALUE!,43570.8,#VALUE!,#VALUE!,61419.54,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1337700,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: ST2-T1, ST2-T2, ST2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. "
7/18/2011,2011,2,1,CT,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,105994.38,GB,7 L Bucket,Siphon,Weir,#VALUE!,264.986,#VALUE!,#VALUE!,780648.597,#VALUE!,#VALUE!,288834.681,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/18/2011,2011,2,1,MT,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,119597.41,GB,7 L Bucket,Siphon,Weir,#VALUE!,298.994,#VALUE!,#VALUE!,880834.949,#VALUE!,#VALUE!,325902.951,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/18/2011,2011,2,1,ST,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,128805.21,GB,7 L Bucket,Siphon,Weir,#VALUE!,322.013,#VALUE!,#VALUE!,948650.408,#VALUE!,#VALUE!,350994.211,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/19/2011,2011,2,2,CT,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,129724.88,GB,7 L Bucket,Siphon,Weir,#VALUE!,324.312,#VALUE!,#VALUE!,955423.72,#VALUE!,#VALUE!,353500.29,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/19/2011,2011,2,2,MT,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,120005.97,GB,7 L Bucket,Siphon,Weir,#VALUE!,300.015,#VALUE!,#VALUE!,883844.001,#VALUE!,#VALUE!,327016.28,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/19/2011,2011,2,2,ST,INF,INF-02-GB,FALSE,FALSE,FALSE,NA,FALSE,U,0.003,U,NA,7.365,NA,NA,2.725,NA,NA,NA,NA,NA,NA,125410.01,GB,7 L Bucket,Siphon,Weir,#VALUE!,313.525,#VALUE!,#VALUE!,923644.694,#VALUE!,#VALUE!,341742.266,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: Inflow T1, Inflow T3. The sample ID has been modifed to fit with the ""modern"" IDs. Original ICP values were 0.003,0. It has been decided to change to value to 0 instead of averaging"
7/18/2011,2011,2,1,CT,OUT,CT1-02-OT,FALSE,AC,FALSE,NA,FALSE,0.356,2.788,0.381,NA,8.057,NA,NA,5.593,NA,NA,NA,NA,NA,1115.4,28720.58,GBW,Transducer,Siphon,Weir,10234.1,80082.551,10952.115,#VALUE!,231392.14,#VALUE!,#VALUE!,160643.777,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,32034934.93,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe"
7/18/2011,2011,2,1,MT,OUT,NT1-02-OT,FALSE,AC,FALSE,NA,FALSE,0.055,1.848,0.159,NA,7.413,NA,NA,5.408,NA,NA,NA,NA,NA,666.953,30170.24,GBW,Transducer,Siphon,Weir,1659.363,55764.66,4787.011,#VALUE!,223662.046,#VALUE!,#VALUE!,163170.715,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,20122142.14,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: NT1 I2 T1, NT1 I2 T2, NT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. NT represents No Till  NT1 I2 T2 value used in this sheet is the average between the sample and its dupe"
7/18/2011,2011,2,1,ST,OUT,ST1-02-OT,FALSE,AC,FALSE,NA,FALSE,0.178,0.818,0.186,NA,7.437,NA,NA,4.11,NA,NA,NA,NA,NA,626.46,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: ST1 I2 T1, ST1 I2 T2, ST1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
7/19/2011,2011,2,2,CT,OUT,CT2-02-OT,FALSE,AC,FALSE,NA,FALSE,0.127,2.593,0.154,NA,7.213,NA,NA,3.1,NA,NA,NA,NA,NA,1486.32,13281.57,GBW,Transducer,Siphon,Weir,1686.759,34443.538,2040.935,#VALUE!,95804.392,#VALUE!,#VALUE!,41172.867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,19740663.12,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
7/19/2011,2011,2,2,MT,OUT,NT2-02-OT,FALSE,AC,FALSE,NA,FALSE,0.232,1.917,0.261,NA,7.3,NA,NA,4.64,NA,NA,NA,NA,NA,1688.64,36672.87,GBW,Transducer,Siphon,Weir,8520.33,70289.668,9559.395,#VALUE!,267711.951,#VALUE!,#VALUE!,170162.117,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,61927275.2,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: NT2 I2 T1, NT2 I2 T2, NT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. NT represents No Till"
7/19/2011,2011,2,2,ST,OUT,ST2-02-OT,FALSE,AC,FALSE,NA,FALSE,0.032,0.794,0.096,NA,7.523,NA,NA,3.907,NA,NA,NA,NA,NA,542.16,32982.49,GBW,Transducer,Siphon,Weir,1044.446,26177.103,3166.319,#VALUE!,248138.266,#VALUE!,#VALUE!,128851.594,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,17881786.78,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: ST2 I2 T1, ST2 I2 T2, ST2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
7/28/2011,2011,3,1,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101295.36,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/28/2011,2011,3,1,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158203.23,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/28/2011,2011,3,1,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160881.4,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101612.04,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129910.26,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115354.54,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/28/2011,2011,3,1,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929.94,14140.76,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,13150058.35,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/28/2011,2011,3,1,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1182.84,39550.81,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,46782280.1,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/28/2011,2011,3,1,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.333,26177.06,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9956008.487,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.733,30783.41,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,33915108.91,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772.94,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
7/29/2011,2011,3,2,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.32,43743.25,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,24029042.09,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/9/2011,2011,4,1,CT,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,118514.59,GB,7 L Bucket,Siphon,Weir,592.573,4859.098,#VALUE!,#VALUE!,941005.849,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/9/2011,2011,4,1,MT,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,120194.99,GB,7 L Bucket,Siphon,Weir,600.975,4927.995,#VALUE!,#VALUE!,954348.256,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/9/2011,2011,4,1,ST,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,133611.4,GB,7 L Bucket,Siphon,Weir,668.057,5478.067,#VALUE!,#VALUE!,1060874.488,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/10/2011,2011,4,2,CT,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,115634.34,GB,7 L Bucket,Siphon,Weir,578.172,4741.008,#VALUE!,#VALUE!,918136.655,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/10/2011,2011,4,2,MT,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,120598.6,GB,7 L Bucket,Siphon,Weir,602.993,4944.542,#VALUE!,#VALUE!,957552.857,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/10/2011,2011,4,2,ST,INF,INF-04-GB,FALSE,FALSE,FALSE,NA,FALSE,0.005,0.041,U,NA,7.94,NA,NA,U,NA,NA,NA,NA,NA,NA,128194.64,GB,7 L Bucket,Siphon,Weir,640.973,5255.98,#VALUE!,#VALUE!,1017865.44,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Samle ID: Inflow T3 I4
8/9/2011,2011,4,1,CT,OUT,CT1-04-OT,FALSE,AC,FALSE,NA,FALSE,0.076,3.02,0.081,NA,8.103,NA,NA,0.84,NA,NA,NA,NA,NA,1351.44,17607.82,GBW,Transducer,Siphon,Weir,1338.194,53175.616,1420.364,#VALUE!,142682.035,#VALUE!,#VALUE!,14790.569,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,23795912.26,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: CT1 T1 I4, CT1 T2 I4, CT1 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
8/9/2011,2011,4,1,MT,OUT,NT1-04-OT,FALSE,AC,FALSE,NA,FALSE,0.137,2.363,0.211,NA,7.967,NA,NA,1.057,NA,NA,NA,NA,NA,946.8,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: NT1 T1 I4, NT1 T2 I4, NT1 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
8/9/2011,2011,4,1,ST,OUT,ST1-04-OT,FALSE,AC,FALSE,NA,FALSE,0.074,2.181,0.061,NA,8.05,NA,NA,3.443,NA,NA,NA,NA,NA,2464.2,48614.54,GBW,Transducer,Siphon,Weir,3581.271,106044.517,2949.282,#VALUE!,391347.047,#VALUE!,#VALUE!,167396.066,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,119795949.5,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: ST1 T1 I4, ST1 T2 I4, ST1 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
8/10/2011,2011,4,2,CT,OUT,CT2-04-OT,FALSE,AC,FALSE,NA,FALSE,0.07,1.833,0.079,NA,8.123,NA,NA,2.43,NA,NA,NA,NA,NA,1014.24,4102,GBW,Ruler,Siphon,Weir,288.507,7520.333,322.691,#VALUE!,33321.913,#VALUE!,#VALUE!,9967.86,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4160412.48,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: CT2 T1 I4, CT2 T2 I4, CT2 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
