_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,ObservationDate,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,EventDate,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
11110,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Selenium,,,,55761.14,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,0.0015,0,,0.0015,Se,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_81c7883d08afb46d4bc0,2011-06-30,,9.356812792126307,0.2869653105188035,0.0,1.6621000866021243,11400.779088554353,1069.3363811465815,121456.67318955758,0.2869653105188035,0.0,1.6621000866021243,0.7268283430420093,,,,,0.2869653105188035,11576.43
12221,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NPOC,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NPOC,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_1985ad3cff2f49f0a774,2011-06-30,,9.356812792126307,4.05134524022693,1.442021668660857,9.448756071012115,11400.779088554353,1069.3363811465815,121456.67318955758,4.05134524022693,1.442021668660857,9.448756071012115,0.7268283430420093,,,,,4.05134524022693,11576.43
13332,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TDS,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TDS,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_78534629428404a7c115,2011-06-30,,9.356812792126307,2.6441989705098274,0.7617510638605236,6.538060517791899,11400.779088554353,1069.3363811465815,121456.67318955758,2.6441989705098274,0.7617510638605236,6.538060517791899,0.7268283430420093,,,,,2.6441989705098274,11576.43
14443,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSS,1621.2,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,1621.2,,0,,,TSS,0.1344401742087775,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_066ed963441d69ce4c40,2011-06-30,7.391538531636244,9.356812792126307,1341.294710504438,647.9187756712171,2775.5494810726123,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,1621.2,11576.43
3,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.08,0.01,,52493.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,0.08,0.75,0,0.01,0.75,OP,-0.2996533915415185,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_4e07408562bedb8b60ce,2011-07-01,0.07696104113612832,8.912900176864722,0.15652280417351028,0.0,1.3922785113038603,8946.26974631317,838.9205288080493,95309.96474912555,,,,,,,,,0.08,7426.17
1114,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,3.337,0.077,,52493.88,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,3.337,0.05,0,0.077,0.05,TP,0.8156196546288823,0.5754085287933446,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_793a84a351bd364d2f03,2011-07-01,1.467182864853229,8.912900176864722,1.4527049348198497,0.18573534629211136,4.073443678727641,8946.26974631317,838.9205288080493,95309.96474912555,,,,,,,,,3.337,7426.17
2225,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.093,0.033,,52493.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,0.093,,0,0.033,,ICP,-0.4399790760310411,2.191986497404764,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_90d441ee3fce238cd433,2011-07-01,0.08892620919440151,8.912900176864722,0.22361907879070228,0.0,1.531067798792194,8946.26974631317,838.9205288080493,95309.96474912555,,,,,,,,,0.093,7426.17
3336,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,,,0,,,TKN,,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_c6a99dc9b0b68c14f9d6,2011-07-01,,8.912900176864722,6.048421045988066,2.4074877296200836,13.57972652687045,8946.26974631317,838.9205288080493,95309.96474912555,6.048421045988066,2.4074877296200836,13.57972652687045,0.7268283430420093,,,,,6.048421045988066,7426.17
4447,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,7.0,6.4,,52493.88,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,7.0,0.2,0,6.4,0.2,NO3,0.183474185391645,0.1077516680296207,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_a5c718889eb455929d33,2011-07-01,2.0794415416798357,8.912900176864722,8.510063561516274,3.5975438587368185,18.671657677003317,8946.26974631317,838.9205288080493,95309.96474912555,,,,,,,,,7.0,7426.17
5558,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,52493.88,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,,0.15,0,,0.15,NO2,,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_940a01e99ef8b507cbef,2011-07-01,,8.912900176864722,0.4914700864238399,0.0,2.0851201767301797,8946.26974631317,838.9205288080493,95309.96474912555,0.4914700864238399,0.0,2.0851201767301797,0.7268283430420093,,,,,0.4914700864238399,7426.17
6669,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,,,0,,,NOx,,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_a34c7305af5b1b2cea20,2011-07-01,,8.912900176864722,4.357728456163023,1.590139529675703,10.082512691342552,8946.26974631317,838.9205288080493,95309.96474912555,4.357728456163023,1.590139529675703,10.082512691342552,0.7268283430420093,,,,,4.357728456163023,7426.17
7780,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,10.803,7.36,,52493.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,10.803,,0,7.36,,TN,1.1794411768489936,0.4953991785653859,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_b770da13569d1b2a2501,2011-07-01,2.468353736446932,8.912900176864722,12.551870577553723,5.55151450305285,27.032174249967436,8946.26974631317,838.9205288080493,95309.96474912555,,,,,,,,,10.803,7426.17
8891,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,,,0,,,NH4,,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_448577b8f82cfd03efd7,2011-07-01,,8.912900176864722,0.41293682992936054,0.0,1.9226733825498283,8946.26974631317,838.9205288080493,95309.96474912555,0.41293682992936054,0.0,1.9226733825498283,0.7268283430420093,,,,,0.41293682992936054,7426.17
10002,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.0418833333333333,0,0,,,0,,,TSP,,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_56acd2f85500d246e085,2011-07-01,,8.912900176864722,0.41269945126461055,0.0,1.9221823625053691,8946.26974631317,838.9205288080493,95309.96474912555,0.41269945126461055,0.0,1.9221823625053691,0.7268283430420093,,,,,0.41269945126461055,7426.17
