_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
14443,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSS,1621.2,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,1621.2,,0,,,TSS,0.1344401742087775,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_066ed963441d69ce4c40,7.391538531636244,9.356812792126307,1393.5166136852295,628.4062357820284,3088.7002210788173,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,1621.2,11576.43
3,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.08,0.01,,52493.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,0.08,0.75,0,0.01,0.75,OP,-0.2996533915415185,-0.2704658744587053,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_4e07408562bedb8b60ce,0.07696104113612832,8.912900176864722,0.18760981109050312,0.0,1.6312761424798259,5528.003349226887,36.81529272968948,808398.8781731275,,,,,,,,,0.08,7426.17
1114,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,3.337,0.077,,52493.88,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,3.337,0.05,0,0.077,0.05,TP,0.8156196546288823,0.5754085287933446,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_793a84a351bd364d2f03,1.467182864853229,8.912900176864722,2.2789242147966013,0.4799216640351248,6.264806149985743,5528.003349226887,36.81529272968948,808398.8781731275,,,,,,,,,3.337,7426.17
2225,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.093,0.033,,52493.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,0.093,,0,0.033,,ICP,-0.4399790760310411,2.191986497404764,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_90d441ee3fce238cd433,0.08892620919440151,8.912900176864722,0.18662648234198845,0.0,1.6290974728090144,5528.003349226887,36.81529272968948,808398.8781731275,,,,,,,,,0.093,7426.17
3336,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,,0,,,TKN,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_c6a99dc9b0b68c14f9d6,,8.912900176864722,5.370315099922065,1.875201348223157,13.114112215957896,5528.003349226887,36.81529272968948,808398.8781731275,5.370315099922065,1.875201348223157,13.114112215957896,0.7955262286348486,,,,,5.370315099922065,7426.17
4447,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,7.0,6.4,,52493.88,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,7.0,0.2,0,6.4,0.2,NO3,0.183474185391645,0.1077516680296207,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_a5c718889eb455929d33,2.0794415416798357,8.912900176864722,8.259600767849607,3.1792621234788028,19.515632627654185,5528.003349226887,36.81529272968948,808398.8781731275,,,,,,,,,7.0,7426.17
5558,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,52493.88,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,0.15,0,,0.15,NO2,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_940a01e99ef8b507cbef,,8.912900176864722,0.7309607545394337,0.0,2.835128082013966,5528.003349226887,36.81529272968948,808398.8781731275,0.7309607545394337,0.0,2.835128082013966,0.7955262286348486,,,,,0.7309607545394337,7426.17
6669,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,,0,,,NOx,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_a34c7305af5b1b2cea20,,8.912900176864722,4.968494824395321,1.6938423134162242,12.223836559185287,5528.003349226887,36.81529272968948,808398.8781731275,4.968494824395321,1.6938423134162242,12.223836559185287,0.7955262286348486,,,,,4.968494824395321,7426.17
7780,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,10.803,7.36,,52493.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,10.803,,0,7.36,,TN,1.1794411768489936,0.4953991785653859,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_b770da13569d1b2a2501,2.468353736446932,8.912900176864722,11.381366046909486,4.588251097870197,26.43223640147242,5528.003349226887,36.81529272968948,808398.8781731275,,,,,,,,,10.803,7426.17
8891,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,,0,,,NH4,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_448577b8f82cfd03efd7,,8.912900176864722,0.3177732501667519,0.0,1.9196671179214726,5528.003349226887,36.81529272968948,808398.8781731275,0.3177732501667519,0.0,1.9196671179214726,0.7955262286348486,,,,,0.3177732501667519,7426.17
10002,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,,0,,,TSP,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_56acd2f85500d246e085,,8.912900176864722,0.31672229482194425,0.0,1.9173386143171913,5528.003349226887,36.81529272968948,808398.8781731275,0.31672229482194425,0.0,1.9173386143171913,0.7955262286348486,,,,,0.31672229482194425,7426.17
11113,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Selenium,,,,52493.88,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.0418833333333333,0,0,,0.0015,0,,0.0015,Se,,,2.62718420703775,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,PE_353c2d3559ff1894d370,CO_510f079b40df5fe888f3,,8.912900176864722,0.2725000318731463,0.0,1.8193594764075818,5528.003349226887,36.81529272968948,808398.8781731275,0.2725000318731463,0.0,1.8193594764075818,0.7955262286348486,,,,,0.2725000318731463,7426.17
