PhysicalEventID,Year,Treatment,Analyte,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,concentration_resolution,volume_resolution
PE_02f279769c003d107924,2024,MT,TSS,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,ICP,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NH4,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NO2,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NO3,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NOx,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NPOC,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,OP,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,Se,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TDS,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TKN,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TN,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TP,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TSP,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TSS,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,median,median
PE_04357ecb542a93ec3e9a,2019,MT,ICP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NH4,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NO2,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NO3,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NOx,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NPOC,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,OP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,Se,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TDS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TKN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TSP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TSS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,ICP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,NH4,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,NO2,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,NO3,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,NOx,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,NPOC,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,OP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,Se,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TDS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TKN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TSP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_044d45e4ebb1080b205a,2018,ST,TSS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_046aab43b1be567757c6,2013,MT,ICP,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,NH4,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,NO2,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,NO3,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,NOx,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,NPOC,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,OP,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,Se,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TDS,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TKN,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TN,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TP,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TSP,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_046aab43b1be567757c6,2013,MT,TSS,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,median,median
PE_047dc3e2cda09724e8c4,2022,CT,ICP,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,NH4,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,NO2,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,NO3,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,NOx,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,NPOC,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,OP,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,Se,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TDS,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TKN,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TN,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TP,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TSP,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_047dc3e2cda09724e8c4,2022,CT,TSS,3,3,2,GB | LC,1,Etape,1,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI",2,False | True,1,0,0,,0,,0,median,median
PE_052d656fa1c2325091a7,2023,MT,ICP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,NH4,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,NO2,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,NO3,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,NOx,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,NPOC,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,OP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,Se,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TDS,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TKN,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TN,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TSP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_052d656fa1c2325091a7,2023,MT,TSS,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, no note about subcontracting TKN",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
