_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,PlantCalendarYear,ResidueAssignmentEligible,ResidueMeasurementDate,ResidueModelDate,ResidueModelDateSource,Residue_STIR_toMeasurement,Residue_STIR_LeftCensored,Residue_STIR_StartDate,Residue_STIR_BoundaryDayCarryover,ResidueYear,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,ObservationDate,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,EventDate,y_logC,y_logV,event_weight
7780,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,10.803,7.36,,52493.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,10.803,,0,7.36,,TN,1.1794411768489936,0.4953991785653859,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_b770da13569d1b2a2501,2011-07-01,2.468353736446932,8.912900176864722,1.0
14446,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSS,1149.12,,,52493.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,1149.12,,0,,,TSS,-0.0690183002118578,,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,2011-07-01,182,58,137,Siphon,PE_7ab5d22c48132f848099,CO_cff4f909408f86508604,2011-07-01,7.0476215637395265,8.912900176864722,1.0
6,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",OrthoP,0.356,0.0,,105994.38,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,0.356,0.75,1,,0.75,OP,0.9540750248604208,-0.3885840286996418,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_e7f6c011776e8db7cd33,2011-07-18,0.3045391895182038,10.265404035576527,1.0
1117,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",TotalP,2.788,0.003,,105994.38,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,2.788,0.05,0,0.003,0.05,TP,0.610453185104825,-0.3939247207548482,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_e1d9ce80c3abd825263a,2011-07-18,1.3318381753238318,10.265404035576527,1.0
2228,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",ICP,0.381,0.0,,105994.38,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,0.381,,1,,,ICP,0.9512877500804964,-0.5205967931336314,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_3f14a60b7590cb27fad9,2011-07-18,0.3228078744271551,10.265404035576527,1.0
4450,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",Nitrate,8.057,7.365,,105994.38,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,8.057,0.2,0,7.365,0.2,NO3,0.4856659696913643,0.4013682621047665,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_4469948f22fdf2a32bda,2011-07-18,2.2035379393928114,10.265404035576527,1.0
7783,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",TotalN,5.593,2.725,,105994.38,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,5.593,,0,2.725,,TN,-0.2169085251631426,-0.7637600322035871,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_2b3baf9bf9df0480f227,2011-07-18,1.8860084801311625,10.265404035576527,1.0
14449,2011-07-18,2011,2,1,CT,OUT,CT1-02-OT,False,AC,False,,False,28720.58,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",TSS,1115.4,,,105994.38,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0,1115.4,,0,,,TSS,-0.0835510483847602,,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,2011-07-18,199,75,120,Siphon,PE_35e13c2714d6ea95f5d3,CO_a00b8671c08db0c9e22d,2011-07-18,7.017864501662167,10.265404035576527,1.0
9,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.127,0.0,,129724.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,0.127,0.75,1,,0.75,OP,-0.0861561612122027,-0.3885840286996418,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_19581e27de7ced00ff1c,2011-07-19,0.11955923505763925,9.494207928403439,1.0
1120,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,2.593,0.003,,129724.88,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,2.593,0.05,0,0.003,0.05,TP,0.5375798489350779,-0.3939247207548482,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_829f00a11ddfdebb51b6,2011-07-19,1.2789875081313817,9.494207928403439,1.0
2231,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.154,0.0,,129724.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,0.154,,1,,,ICP,-0.1453010330004724,-0.5205967931336314,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_b847856411aef26fd25b,2011-07-19,0.14323416808590783,9.494207928403439,1.0
4453,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,7.213,7.365,,129724.88,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,7.213,0.2,0,7.365,0.2,NO3,0.2443699754160918,0.4013682621047665,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_ed9d0fce1e4dc986fe5e,2011-07-19,2.1057182647580555,9.494207928403439,1.0
7786,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,3.1,2.725,,129724.88,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,3.1,,0,2.725,,TN,-0.8850658777766274,-0.7637600322035871,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_123ec5685653a03f3c59,2011-07-19,1.410986973710262,9.494207928403439,1.0
14452,2011-07-19,2011,2,2,CT,OUT,CT2-02-OT,False,AC,False,,False,13281.57,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSS,1486.32,,,129724.88,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0,1486.32,,0,,,TSS,0.0763091815171674,,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,2011-07-19,200,76,119,Siphon,PE_9e155a06de6d2a36ed95,CO_f2074e94f6e52462f9b9,2011-07-19,7.304731121694316,9.494207928403439,1.0
