Treatment,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,PlantCalendarYear,ResidueAssignmentEligible,ResidueMeasurementDate,ResidueModelDate,ResidueModelDateSource,Residue_STIR_toMeasurement,Residue_STIR_LeftCensored,Residue_STIR_StartDate,Residue_STIR_BoundaryDayCarryover,Rep,ResidueYear,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n
CT,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,162.01249999999982,False,2016-07-25,0.0,2,2017.0,1.0,,2.0
MT,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,50.21249999999998,False,2016-07-25,0.0,1,2017.0,56.5,,2.0
MT,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,50.21249999999998,False,2016-07-25,0.0,2,2017.0,58.5,,2.0
ST,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,48.01875000000001,False,2016-07-25,0.0,1,2017.0,65.5,,2.0
ST,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,48.01875000000001,False,2016-07-25,0.0,2,2017.0,65.0,,2.0
CT,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,147.40375000000017,False,2017-10-13,0.0,1,2018.0,0.0,,2.0
CT,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,147.40375000000017,False,2017-10-13,0.0,2,2018.0,2.0,,2.0
MT,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,26.893750000000068,False,2017-10-13,0.0,1,2018.0,18.0,,2.0
MT,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,26.893750000000068,False,2017-10-13,0.0,2,2018.0,21.0,,2.0
ST,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,26.893749999999955,False,2017-10-13,0.0,1,2018.0,16.0,,2.0
ST,2018-05-18,2018-09-04,2018,dry beans,2017-10-13,silage corn,2018,True,2018-05-22,2018-05-22,user-confirmed measurement date,26.893749999999955,False,2017-10-13,0.0,2,2018.0,26.0,,2.0
CT,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.694999999999936,False,2018-09-04,0.0,1,,,,
CT,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.694999999999936,False,2018-09-04,0.0,2,,,,
MT,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.694999999999936,False,2018-09-04,0.0,1,,,,
MT,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.694999999999936,False,2018-09-04,0.0,2,,,,
ST,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.69500000000005,False,2018-09-04,0.0,1,,,,
ST,2018-09-15,2019-08-02,2018,winter wheat,2018-09-04,dry beans,2018,False,,2018-09-15,PlantDate proxy,45.69500000000005,False,2018-09-04,0.0,2,,,,
CT,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,186.33875000000012,False,2019-08-02,0.0,1,2020.0,0.0,0.00022222233333333335,3.0
CT,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,186.33875000000012,False,2019-08-02,0.0,2,2020.0,0.0,0.0,3.0
MT,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,36.481250000000045,False,2019-08-02,0.0,1,2020.0,56.0,0.077888889,3.0
MT,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,36.481250000000045,False,2019-08-02,0.0,2,2020.0,54.666666666666664,0.12066666666666666,3.0
ST,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,26.731249999999932,False,2019-08-02,0.0,1,2020.0,56.666666666666664,0.07666666666666666,3.0
ST,2020-04-28,2020-10-09,2020,grain corn,2019-08-02,winter wheat,2020,True,,2020-04-28,PlantDate proxy,26.731249999999932,False,2019-08-02,0.0,2,2020.0,50.0,0.065777778,3.0
CT,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,207.3012500000002,False,2020-10-09,0.0,1,2021.0,4.0,0.002111111,3.0
CT,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,207.3012500000002,False,2020-10-09,0.0,2,2021.0,4.0,0.000888889,3.0
MT,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,83.5575,False,2020-10-09,0.0,1,2021.0,77.66666666666667,0.06555555533333333,3.0
MT,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,83.5575,False,2020-10-09,0.0,2,2021.0,82.66666666666667,0.047111111000000004,3.0
ST,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,91.84500000000003,False,2020-10-09,0.0,1,2021.0,69.33333333333333,0.06722222233333333,3.0
ST,2021-04-27,2021-10-22,2021,grain corn,2020-10-09,grain corn,2021,True,,2021-04-27,PlantDate proxy,91.84500000000003,False,2020-10-09,0.0,2,2021.0,69.33333333333333,0.05077777766666667,3.0
CT,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,223.97374999999965,False,2021-10-22,0.0,1,2022.0,5.666666666666667,0.008166666666666668,3.0
CT,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,223.97374999999965,False,2021-10-22,0.0,2,2022.0,8.0,0.017666666666666667,3.0
MT,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,92.18624999999997,False,2021-10-22,0.0,1,2022.0,26.666666666666668,0.07816666666666666,3.0
MT,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,92.18624999999997,False,2021-10-22,0.0,2,2022.0,42.0,0.13283333333333333,3.0
ST,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,97.06124999999997,False,2021-10-22,0.0,1,2022.0,27.333333333333332,0.07516666666666667,3.0
ST,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2022,True,,2022-04-29,PlantDate proxy,97.06124999999997,False,2021-10-22,0.0,2,2022.0,30.666666666666668,0.09366666666666668,3.0
CT,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,166.41625000000022,False,2022-10-24,0.0,1,2023.0,10.333333333333334,0.025666666666666667,3.0
CT,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,166.41625000000022,False,2022-10-24,0.0,2,2023.0,2.3333333333333335,0.002166666666666667,3.0
MT,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,47.059999999999945,False,2022-10-24,0.0,1,2023.0,17.666666666666668,0.06799999999999999,3.0
MT,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,47.059999999999945,False,2022-10-24,0.0,2,2023.0,26.0,0.16233333333333333,3.0
ST,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,26.178750000000036,False,2022-10-24,0.0,1,2023.0,36.333333333333336,0.137,3.0
ST,2023-05-02,2023-09-08,2023,silage corn,2022-10-24,grain corn,2023,True,2023-05-01,2023-05-01,user-confirmed measurement date,26.178750000000036,False,2022-10-24,0.0,2,2023.0,28.666666666666668,0.10583333333333333,3.0
CT,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04125000000022,False,2023-09-08,0.0,1,,,,
CT,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04125000000022,False,2023-09-08,0.0,2,,,,
MT,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04124999999999,False,2023-09-08,0.0,1,,,,
MT,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04124999999999,False,2023-09-08,0.0,2,,,,
ST,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04124999999999,False,2023-09-08,0.0,1,,,,
ST,2023-09-13,2024-08-02,2023,winter wheat,2023-09-08,silage corn,2023,False,,2023-09-13,PlantDate proxy,38.04124999999999,False,2023-09-08,0.0,2,,,,
CT,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,174.29749999999967,False,2024-08-02,0.0,1,2025.0,4.666666666666667,0.011523333333333335,3.0
CT,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,174.29749999999967,False,2024-08-02,0.0,2,2025.0,2.6666666666666665,0.012386666666666666,3.0
MT,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,51.77249999999981,False,2024-08-02,0.0,1,2025.0,51.0,0.34173000000000003,3.0
MT,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,51.77249999999981,False,2024-08-02,0.0,2,2025.0,53.666666666666664,0.38397333333333333,3.0
ST,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,77.44749999999999,False,2024-08-02,0.0,1,2025.0,39.666666666666664,0.20323666666666665,3.0
ST,2025-04-24,2025-11-07,2025,grain corn,2024-08-02,winter wheat,2025,True,,2025-04-24,PlantDate proxy,77.44749999999999,False,2024-08-02,0.0,2,2025.0,40.333333333333336,0.09736,3.0
