PhysicalEventID,Year,Irrigation,Rep,Treatment,EventDate,VolumeObservationID,FurrowTireCompaction,RepScope,AnchorDate,AnchorOperation,Timing,DateStatus,ProvenanceNote,CompactionExposureSource,n_genuine_volume_observations,has_genuine_volume_observation
PE_04c02bec0f0f9a370498,2012,3,2,MT,2012-06-12,VO_b96ba4e2e40b37e05202,0,,,,,,,unlisted_default_zero,1,True
PE_0503afb14c99d9e82049,2018,1,1,CT,2018-06-28,,0,,,,,,,unlisted_default_zero,0,False
PE_051cd85fc942217be314,2021,6,2,CT,2021-09-10,,0,,,,,,,unlisted_default_zero,0,False
PE_0609bb3a38fc48d18c44,2013,2,1,CT,2013-07-02,,0,,,,,,,unlisted_default_zero,0,False
PE_06463f55c291ea1d15a9,2013,4,2,ST,2013-07-31,VO_56176662400919d6c0a4,0,,,,,,,unlisted_default_zero,1,True
PE_0656666c2b33c1a71dfc,2022,3,2,ST,2022-07-14,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_06726b0bbd436c0f2638,2016,1,1,MT,2016-06-07,VO_ed2c5d04eed2e312fc5a,0,,,,,,,unlisted_default_zero,1,True
PE_06846811b2896d804676,2013,2,2,CT,2013-07-03,VO_2d35eadb92ff161413e3,0,,,,,,,unlisted_default_zero,1,True
PE_06cf6ee8f5f1de6d062c,2018,1,2,CT,2018-06-28,,0,,,,,,,unlisted_default_zero,0,False
PE_074f45d65401c8fdb3f5,2022,4,1,CT,2022-07-26,,0,,,,,,,unlisted_default_zero,0,False
PE_078b8edebaf25b47ca9c,2015,6,2,MT,2015-09-01,VO_5e8ffbfda63feba2e0b2,0,,,,,,,unlisted_default_zero,1,True
PE_07b0e2786e6c6d7e52f2,2025,S1,2,MT,2025-09-23,VO_138ba356bac9631296fd,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_07fb872524ea7e0b9145,2014,5,2,CT,2014-09-10,,0,,,,,,,unlisted_default_zero,0,False
PE_084268df6eb9d4246043,2012,7,1,MT,2012-07-31,VO_64c19839eadcf01ebde4,0,,,,,,,unlisted_default_zero,1,True
PE_09a938930ab837ebeb36,2015,4,2,MT,2015-08-07,VO_3b247a1a2cfd92c5e404,0,,,,,,,unlisted_default_zero,1,True
PE_0ac2121b8fe18c0053e2,2021,4,1,CT,2021-08-12,,0,,,,,,,unlisted_default_zero,0,False
PE_0b902961f965469f339e,2020,5,1,ST,2020-08-02,VO_3c1c2025ee2bb10e7ab0,0,,,,,,,unlisted_default_zero,1,True
PE_0bb94842a812bc6b3413,2020,5,2,MT,2020-08-03,,0,,,,,,,unlisted_default_zero,0,False
PE_0c2d197a5610b0bbb10e,2025,6,2,ST,2025-09-03,VO_0db1845a371c3f473af3,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_0c5f6cae2ecb3b88339a,2013,1,2,ST,2013-06-20,,0,,,,,,,unlisted_default_zero,0,False
PE_0c873ebca68f220b5575,2014,3,2,CT,2014-08-05,VO_8108ac99f980f0dcf458,0,,,,,,,unlisted_default_zero,1,True
PE_0d069e1b4f6cd76df6ac,2017,6,2,MT,2017-09-07,VO_32b9e8c4049152e82b8f,0,,,,,,,unlisted_default_zero,1,True
PE_0d403a1dbd25bf378957,2012,7,2,CT,2012-08-01,VO_e10b74e7dc66a67337f3,0,,,,,,,unlisted_default_zero,1,True
PE_0db94b33091790ae448c,2017,3,1,CT,2017-07-20,VO_3fa5a2cb1591a6b552bd,0,,,,,,,unlisted_default_zero,1,True
PE_0e378dd2a91d7df1a7a9,2015,1,1,MT,2015-07-06,VO_9520c2b48888769194df,0,,,,,,,unlisted_default_zero,1,True
PE_0e586fb82f46b37d94b4,2012,6,2,ST,2012-07-25,VO_0010c7cab405f6468116,0,,,,,,,unlisted_default_zero,1,True
PE_0f0b8ef86caaf0f77083,2022,5,2,CT,2022-08-11,,0,,,,,,,unlisted_default_zero,0,False
PE_0f2c1b5db3c1949d1f74,2014,3,1,CT,2014-08-04,VO_df7984040ed81c26911d,0,,,,,,,unlisted_default_zero,1,True
PE_0f6804c5fdc4da7fb4f7,2014,1,2,CT,2014-07-02,VO_75a5e3937e5c7a0b0b64,0,,,,,,,unlisted_default_zero,1,True
PE_0fa9147237bf4b348c9f,2023,S2,1,ST,2023-08-06,,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_10a82e2f3d5ad96163d0,2021,4,2,MT,2021-08-13,,0,,,,,,,unlisted_default_zero,0,False
PE_113a8b8781b7a42b7a0c,2013,4,2,MT,2013-07-31,,0,,,,,,,unlisted_default_zero,0,False
PE_1286406ef8d51ffa7b89,2017,6,2,CT,2017-09-07,VO_0a007883bbdaf3906735,0,,,,,,,unlisted_default_zero,1,True
PE_12cbc4a228ce581574f5,2013,6,1,MT,2013-08-19,VO_7c456ed650c095a0df8b,0,,,,,,,unlisted_default_zero,1,True
PE_13b97df6b79444e8e9e5,2011,5,1,MT,2011-08-18,,0,,,,,,,unlisted_default_zero,0,False
PE_14298b67e71efd6380df,2022,2,1,MT,2022-06-29,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_1486d363f9b911e8c7c4,2013,3,1,CT,2013-07-11,VO_833ed9ee33f5bf27cd8e,0,,,,,,,unlisted_default_zero,1,True
PE_15badc81229f832de396,2012,10,2,ST,2012-08-31,VO_f616f036ac17f6a01fd9,0,,,,,,,unlisted_default_zero,1,True
PE_15c01ebd332fd5d41b39,2012,9,2,CT,2012-08-20,VO_dd0dc745cbdf5a0b888f,0,,,,,,,unlisted_default_zero,1,True
PE_15c76299e8dbf45908ff,2020,5,2,ST,2020-08-03,,0,,,,,,,unlisted_default_zero,0,False
PE_1607bd85c5b858754283,2023,2,2,CT,2023-08-16,VO_a7d54c9217b5610b2648,0,,,,,,,unlisted_default_zero,1,True
PE_164e2c6f0b39eec70d00,2012,2,1,ST,2012-06-03,VO_7d711e3db25a0d72baed,0,,,,,,,unlisted_default_zero,1,True
PE_166bc984fea383507df7,2020,2,1,CT,2020-07-06,,0,,,,,,,unlisted_default_zero,0,False
PE_16ac905814be2f1ac791,2021,6,2,ST,2021-09-10,,1,both,2021-06-18,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed ST-only follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_17730c5643d948b203ad,2012,8,1,CT,2012-08-08,VO_e38f6551d062794da72f,0,,,,,,,unlisted_default_zero,1,True
PE_17f8630aaa6312f3912a,2023,5,2,CT,2023-09-26,VO_a465563a77b8e521d7b6,0,,,,,,,unlisted_default_zero,1,True
PE_18bc94a3d047891c182b,2013,3,2,ST,2013-07-12,VO_921e210f303bdc25f46e,0,,,,,,,unlisted_default_zero,1,True
PE_1959bad48333cbb7ac20,2011,3,1,MT,2011-07-28,VO_484674b3167db9f033e2,0,,,,,,,unlisted_default_zero,1,True
PE_1994b95c4c5d89d54441,2015,5,1,CT,2015-08-16,VO_5215893686b7c61276b6,0,,,,,,,unlisted_default_zero,1,True
PE_199b5b7c1aaa1098c691,2023,S1,1,MT,2023-08-01,,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_1a4143d14585d70064a4,2021,2,2,ST,2021-07-09,VO_48d3736da7da569c8dea,1,both,2021-06-18,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed ST-only follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_1a7d8cf14d5d7a84cc49,2012,1,2,ST,2012-05-16,VO_cf7bf1f9b32a53560537,0,,,,,,,unlisted_default_zero,1,True
PE_1ad2a48558b8c9cdf0bb,2015,6,1,CT,2015-08-31,VO_53556fe3be39b9c7ea26,0,,,,,,,unlisted_default_zero,1,True
PE_1bd1f8a68c1dc49b3965,2013,4,1,MT,2013-07-30,,0,,,,,,,unlisted_default_zero,0,False
PE_1c61ae236bb189923470,2020,5,1,MT,2020-08-02,,0,,,,,,,unlisted_default_zero,0,False
PE_1d9fa89274a5507fb9c3,2016,2,1,MT,2016-06-19,VO_62c25da5b46ba2f2e3f2,0,,,,,,,unlisted_default_zero,1,True
PE_1e64cd46783542f338bd,2018,2,1,MT,2018-07-09,,0,,,,,,,unlisted_default_zero,0,False
PE_1ebd3b89c1a1eb60037d,2018,5,2,MT,2018-09-23,,0,,,,,,,unlisted_default_zero,0,False
PE_1ebff2d4e49b119d2aae,2014,5,1,ST,2014-09-09,,0,,,,,,,unlisted_default_zero,0,False
PE_2000666922e9baf4491a,2025,5,2,ST,2025-08-19,VO_128e89041e662421c863,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_20cdd4f089d2cb0bb73d,2017,3,1,ST,2017-07-20,VO_84e6433ce16960afeceb,0,,,,,,,unlisted_default_zero,1,True
PE_20fd7645e8886a1975a0,2017,5,2,CT,2017-08-22,VO_9791b960e68ef08014cd,0,,,,,,,unlisted_default_zero,1,True
PE_214aa9017327a70f135f,2014,1,2,MT,2014-07-02,VO_390ace07b19e4e2b2db1,0,,,,,,,unlisted_default_zero,1,True
PE_21dfe39111b133765d37,2021,3,2,CT,2021-07-30,,0,,,,,,,unlisted_default_zero,0,False
PE_21eb97240c4e244d59c9,2021,2,1,CT,2021-07-08,VO_2710595c7316476cd256,0,,,,,,,unlisted_default_zero,1,True
PE_21ef5b6342274d9e3203,2023,2,1,CT,2023-08-16,VO_e198cb6d8cc8af50f9b2,0,,,,,,,unlisted_default_zero,1,True
PE_222b0b4beba254c530d7,2023,1,2,CT,2023-07-17,VO_6ede9003c2a954d040c4,0,,,,,,,unlisted_default_zero,1,True
PE_22cf0a3e64c2027aae35,2023,S2,1,MT,2023-08-06,,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_230aa97120550e292bc7,2022,2,2,ST,2022-06-30,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_2314eec6a45e0be9e203,2025,4,1,MT,2025-08-11,VO_7ad8664bb77fd279eace,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_23621b170748f0fc60c2,2023,4,2,MT,2023-09-20,VO_0871687e0e442d483f70,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_23fdec9b5d2f5aa45a05,2011,5,1,ST,2011-08-18,VO_8929a2fa1d028ad95dc4,0,,,,,,,unlisted_default_zero,1,True
PE_245bc6dafec7fe277df3,2016,2,1,ST,2016-06-19,VO_ca6afe26e50b421c32ec,0,,,,,,,unlisted_default_zero,1,True
PE_248493668060338e72e6,2023,1,1,MT,2023-07-17,VO_419dfaaf27a1a8d6d0f4,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_248d74790d081f1ad247,2012,4,1,ST,2012-06-26,VO_aa5895e8544289a8992f,0,,,,,,,unlisted_default_zero,1,True
PE_260d9de653b38957c0fe,2022,5,1,MT,2022-08-10,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_262bcdadb146dac989ae,2013,6,2,MT,2013-08-20,VO_e45827674bee6fd2d1f5,0,,,,,,,unlisted_default_zero,1,True
PE_26a08057b7264787ef06,2022,8,2,CT,2022-09-07,,0,,,,,,,unlisted_default_zero,0,False
PE_27068e46a99396e37068,2015,5,1,ST,2015-08-16,VO_2ffe0d2253063380a0ef,0,,,,,,,unlisted_default_zero,1,True
PE_27f99a360d626c266301,2018,2,2,MT,2018-07-09,,0,,,,,,,unlisted_default_zero,0,False
PE_2836684cbc95d298d128,2016,1,2,MT,2016-06-08,VO_dc37932a6ce835e673cf,0,,,,,,,unlisted_default_zero,1,True
PE_283a79a4d7e1d99ea45c,2017,4,1,MT,2017-08-02,VO_0efe268eb7639cb02c52,0,,,,,,,unlisted_default_zero,1,True
PE_28a3ad7db7957a75e475,2014,3,1,MT,2014-08-04,,0,,,,,,,unlisted_default_zero,0,False
PE_29232e3b1d0dd0846861,2021,6,1,MT,2021-09-09,,0,,,,,,,unlisted_default_zero,0,False
PE_292d31f26b57f7190bab,2020,2,2,CT,2020-07-07,,0,,,,,,,unlisted_default_zero,0,False
PE_2a0d4bf170744820dad9,2013,1,1,CT,2013-06-19,,0,,,,,,,unlisted_default_zero,0,False
PE_2aaba42888d07cb12d22,2011,2,2,MT,2011-07-19,VO_3b485121fd8ba1ced92a,0,,,,,,,unlisted_default_zero,1,True
PE_2b1a26b26247f7aaf591,2013,6,2,ST,2013-08-20,VO_f391d0b5fb4f0f5c8ec6,0,,,,,,,unlisted_default_zero,1,True
PE_2b276407ca9e7ade973b,2013,5,2,MT,2013-08-09,VO_437622f02a3c3afdbc5a,0,,,,,,,unlisted_default_zero,1,True
PE_2bbc899d26154b6d1225,2018,4,1,CT,2018-09-18,,0,,,,,,,unlisted_default_zero,0,False
PE_2bc636c51bdfedd7a673,2015,6,1,ST,2015-08-31,VO_04a736c58a38f4178104,0,,,,,,,unlisted_default_zero,1,True
PE_2d8bea54a10e404180da,2018,5,1,ST,2018-09-23,,0,,,,,,,unlisted_default_zero,0,False
PE_2dee4ae4d1c5b4873b12,2022,6,1,CT,2022-08-18,,0,,,,,,,unlisted_default_zero,0,False
PE_2e40b6e91cc7d5ecd6c3,2021,4,2,CT,2021-08-13,,0,,,,,,,unlisted_default_zero,0,False
PE_2e9d58711c9824497c11,2013,4,2,CT,2013-07-31,VO_0c742abd11b232fb629a,0,,,,,,,unlisted_default_zero,1,True
PE_2efa629b1e4ba707bca1,2012,10,1,CT,2012-08-30,VO_197310d56fb6be50d3f6,0,,,,,,,unlisted_default_zero,1,True
PE_2fff192166fb6a1b5884,2011,6,1,CT,2011-08-28,,0,,,,,,,unlisted_default_zero,0,False
PE_30d8eee773ba85ed7ec9,2025,2,2,CT,2025-07-14,VO_84a9c7fa5b23de230f7d,0,,,,,,,unlisted_default_zero,2,True
PE_30f71765b192fa672ac6,2024,1,2,ST,2024-05-15,VO_4612222eeae69ca54831,1,both,,Unlogged pre-irrigation tractor pass,after_residue_before_first_runoff,user_confirmed_before_first_runoff,user-confirmed MT and ST compaction with no logged anchor date,furrow_tire_compaction_records.csv,2,True
PE_31bb29072ce592a58136,2017,1,2,CT,2017-06-27,VO_78260ac74e6bb56c08fc,0,,,,,,,unlisted_default_zero,1,True
PE_326f1ee42ddcd2cd3c31,2025,1,2,ST,2025-06-30,VO_ee907391871b9f7b5c0d,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_32cf57061f68ffb1c9cf,2012,10,2,CT,2012-08-31,VO_25fc1d14c157d24e1423,0,,,,,,,unlisted_default_zero,1,True
PE_32d4186ac5b7c925427a,2022,7,1,CT,2022-08-23,,0,,,,,,,unlisted_default_zero,0,False
PE_32e6a0947406c0450241,2011,5,2,ST,2011-08-19,VO_c2abac5ef4dc923ffa70,0,,,,,,,unlisted_default_zero,1,True
PE_33074ef569f8079ca2c5,2021,1,1,CT,2021-06-23,VO_1bbddc4ec1f39133749e,0,,,,,,,unlisted_default_zero,1,True
PE_33b48c45a8f1d7ee984a,2025,6,1,ST,2025-09-03,VO_0d55b6a1ea1db960d958,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_3433a0bfc8c7216f3995,2022,1,1,CT,2022-06-17,,0,,,,,,,unlisted_default_zero,0,False
PE_344e7a9bb935a4829210,2022,2,2,MT,2022-06-30,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_35e13c2714d6ea95f5d3,2011,2,1,CT,2011-07-18,VO_5a456c5930de8120af54,0,,,,,,,unlisted_default_zero,1,True
PE_365d30de37f48e464de2,2012,8,2,ST,2012-08-09,VO_e69a5d0d7c134745a010,0,,,,,,,unlisted_default_zero,1,True
PE_3694e2f2ef6dd2e8480f,2023,S2,2,MT,2023-08-06,,1,both,2023-06-28,Pipe Ditch,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_3712d644db8e7505fd90,2017,2,2,MT,2017-07-10,VO_66e32592c55c0ce45f1c,0,,,,,,,unlisted_default_zero,1,True
PE_38f43e287ee7d1f916e4,2015,3,2,CT,2015-07-31,VO_0d203abac1375a75a283,0,,,,,,,unlisted_default_zero,1,True
PE_39c8810e26ab4ca7933c,2025,3,2,MT,2025-07-31,VO_6a56bdeced5c3d33983b,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_3a1f801f634bfe189584,2013,2,2,ST,2013-07-03,VO_5ec9fdccc5ac869325a2,0,,,,,,,unlisted_default_zero,1,True
PE_3a4478840ec05680e176,2024,4,2,CT,2024-06-20,VO_02e2b0ee87028aab4d63,0,,,,,,,unlisted_default_zero,2,True
PE_3aa6f9c73e9503f289eb,2013,3,2,CT,2013-07-12,VO_6a0b2a4359249cda8c26,0,,,,,,,unlisted_default_zero,1,True
PE_3aee59a4d58fb18e7937,2019,1,2,MT,2019-06-27,,0,,,,,,,unlisted_default_zero,0,False
PE_3b0275b6f31aa3c48b11,2021,3,1,MT,2021-07-29,VO_cf64f33e898106fa5359,0,,,,,,,unlisted_default_zero,1,True
PE_3b419c0bdb22b2b7c315,2012,3,1,ST,2012-06-11,,0,,,,,,,unlisted_default_zero,0,False
PE_3d9e743a00f5613f6722,2021,1,1,ST,2021-06-23,VO_fb0b3d32d82b0fb700cb,1,both,2021-06-18,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed ST-only follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_3da987b4bbd059aa3b87,2011,6,2,CT,2011-08-29,VO_257b327d5071d69bbb80,0,,,,,,,unlisted_default_zero,1,True
PE_3e1a799849bdfb1c3f26,2022,6,1,MT,2022-08-18,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_3e80216d31c31cb94be7,2021,6,1,CT,2021-09-09,,0,,,,,,,unlisted_default_zero,0,False
PE_3eefa2d11be77738359b,2022,4,2,ST,2022-07-27,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_3f0bbb475c6994c60cf6,2020,3,2,MT,2020-07-13,,0,,,,,,,unlisted_default_zero,0,False
PE_3f1a3adf6196ed54473e,2022,1,2,CT,2022-06-17,,0,,,,,,,unlisted_default_zero,0,False
PE_3f6400cdcf4fab1e9fc1,2020,1,2,ST,2020-06-23,,0,,,,,,,unlisted_default_zero,0,False
PE_3fc5dfce0fb4c6220e16,2022,4,2,MT,2022-07-27,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_406a96629a182935cae7,2012,10,1,MT,2012-08-30,,0,,,,,,,unlisted_default_zero,0,False
PE_418fe61f7dcc6a6354d9,2025,S1,2,CT,2025-09-23,,0,,,,,,,unlisted_default_zero,0,False
PE_41cebec90b66f3ef63c2,2025,1,1,CT,2025-06-30,VO_a94e975f6107889a158e,0,,,,,,,unlisted_default_zero,1,True
PE_425f14902ee81a16cfeb,2022,7,1,ST,2022-08-23,,1,both,2022-06-13,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,0,False
PE_4265f591b8d06dcbc8b8,2014,2,2,MT,2014-07-22,,0,,,,,,,unlisted_default_zero,0,False
PE_4276db7edd2e90f04dd5,2020,6,2,CT,2020-08-19,,0,,,,,,,unlisted_default_zero,0,False
PE_428d2603a778e905a134,2014,4,1,MT,2014-08-17,VO_dce6c54b1be0a01474de,0,,,,,,,unlisted_default_zero,1,True
PE_42c8ab0c8a8eb2aaa7dc,2025,S1,1,CT,2025-09-23,,0,,,,,,,unlisted_default_zero,0,False
PE_42eb29bd3d8b55596b0d,2012,2,1,CT,2012-06-03,VO_a11871cf7456d3a63125,0,,,,,,,unlisted_default_zero,1,True
PE_42feb90a12eb2a1656cd,2015,4,2,CT,2015-08-07,VO_6355e5c9fbaf1f6c6d8e,0,,,,,,,unlisted_default_zero,1,True
PE_438127a754ce2a504c09,2022,2,2,CT,2022-06-30,,0,,,,,,,unlisted_default_zero,0,False
PE_43f0020c0e87bb28cb4f,2021,1,2,CT,2021-06-24,VO_c943d53851f3839149c4,0,,,,,,,unlisted_default_zero,1,True
PE_44c3319c1ae4491d3b22,2017,4,2,MT,2017-08-03,VO_5fbdd100fffff361e2fe,0,,,,,,,unlisted_default_zero,1,True
PE_44d1a7f433fe780ac78b,2025,2,2,ST,2025-07-14,VO_294a680769b71029116e,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_45cd079098a5ce5a4947,2020,2,2,ST,2020-07-07,,0,,,,,,,unlisted_default_zero,0,False
PE_46cc9f71204f4afd638d,2020,1,1,ST,2020-06-22,,0,,,,,,,unlisted_default_zero,0,False
PE_47021952abc7ade62c23,2024,3,2,ST,2024-06-12,VO_083a872415336ea4ad13,1,both,,Unlogged pre-irrigation tractor pass,after_residue_before_first_runoff,user_confirmed_before_first_runoff,user-confirmed MT and ST compaction with no logged anchor date,furrow_tire_compaction_records.csv,2,True
PE_47319afabf95ce33e7fd,2021,2,1,ST,2021-07-08,VO_8cad884f7ad931461e82,1,both,2021-06-18,Clean Furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed ST-only follow-on tractor pass,furrow_tire_compaction_records.csv,1,True
PE_478d3c0884b4f50a8523,2011,5,2,CT,2011-08-19,VO_7c0af5255edf2ffde077,0,,,,,,,unlisted_default_zero,1,True
PE_48332f955c6c36e57528,2020,6,1,MT,2020-08-18,,0,,,,,,,unlisted_default_zero,0,False
PE_4867a66f60d5dfebd5d7,2019,1,1,MT,2019-06-27,,0,,,,,,,unlisted_default_zero,0,False
PE_49484da33f0ea698b83b,2011,4,1,MT,2011-08-09,,0,,,,,,,unlisted_default_zero,0,False
PE_4998c6ec98ba5c91a95d,2017,2,2,ST,2017-07-10,VO_6032d4008c90c5151853,0,,,,,,,unlisted_default_zero,1,True
PE_49de8099f0ba88b76279,2018,5,2,CT,2018-09-23,,0,,,,,,,unlisted_default_zero,0,False
PE_49fb6cd53fdd5e458f64,2020,6,1,ST,2020-08-18,VO_baf9f63c0deb41dfe82b,0,,,,,,,unlisted_default_zero,1,True
PE_4a45291481f1020c04f7,2017,6,1,CT,2017-09-06,VO_7b50bddda5a470d3baa3,0,,,,,,,unlisted_default_zero,1,True
PE_4b3ed7bf50264a74706d,2018,2,2,ST,2018-07-09,,0,,,,,,,unlisted_default_zero,0,False
PE_4ba63451b7dc89c0a556,2013,6,1,ST,2013-08-19,VO_e85a21b196db34d50b8d,0,,,,,,,unlisted_default_zero,1,True
PE_4c355f124b8d8c67fa55,2012,2,2,ST,2012-06-04,VO_c2f04254c41defae8e44,0,,,,,,,unlisted_default_zero,1,True
PE_4c80e607422dec97f0c9,2014,4,1,CT,2014-08-17,VO_78b6b3846b672a1539a9,0,,,,,,,unlisted_default_zero,1,True
PE_4d317db65fbb1df71b52,2017,3,2,ST,2017-07-21,VO_07e8a091c61e0b8a7f24,0,,,,,,,unlisted_default_zero,1,True
PE_4ebf629c5dd531a50c12,2015,3,1,MT,2015-07-30,VO_d726db7cac8af84f3989,0,,,,,,,unlisted_default_zero,1,True
PE_50834006bf4af0c32f60,2023,S2,2,CT,2023-08-06,,0,,,,,,,unlisted_default_zero,0,False
PE_5084a07101a28e5fba2b,2013,7,2,CT,2013-08-29,VO_222c2bec9a2dfd372bcc,0,,,,,,,unlisted_default_zero,1,True
