PhysicalEventID,Year,Irrigation,Rep,Treatment,Analyte,Concentration_mg_L,ConcentrationObservationIDs,Volume_L,VolumeObservationIDs,Load_kg,ObservedEventLoadComplete
PE_007bf9724431b43650d7,2025,7,1,ST,NO3,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,OP,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,Se,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,TDS,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,TKN,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,TN,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,TP,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,TSS,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,NH4,NA,NA,71503.05,VO_33af0b5d88cce691de07,NA,FALSE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,NO2,0.1,CO_1089c7c8b99b15944120;CO_3a49576fd0e1eb40e7a9;CO_51240b821461978b1613;CO_eba563fc7217d554563f,71503.05,VO_33af0b5d88cce691de07,0.007150305,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,NO3,0.2345,CO_2c5ae0760c6625f53611;CO_dd5c332e8ce67a7cf955;CO_e1cbed0ecbee7325a482;CO_eac627facfe5f552055d,71503.05,VO_33af0b5d88cce691de07,0.016767465225,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,OP,0.338,CO_1a5659493256d9eb296e;CO_7e07ae1a0cd3da38f7e6;CO_b312d5fbcfab403a28f2;CO_b5a9ede9a93528be3e12,71503.05,VO_33af0b5d88cce691de07,0.0241680309,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,Se,NA,NA,71503.05,VO_33af0b5d88cce691de07,NA,FALSE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,TDS,605,CO_2200a6d30ab9bf51ee8e;CO_5453c3aaf60160a23430;CO_57308046c00e2baf57ed;CO_e81997ae98fcafea8de8,71503.05,VO_33af0b5d88cce691de07,43.25934525,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,TKN,0.975,CO_357c08aaae039838b09a;CO_8b0f03858cd08f401a7f;CO_9cf876e274c8bbc32e1a;CO_df3c5a3eab925a314bfa,71503.05,VO_33af0b5d88cce691de07,0.06971547375,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,TN,NA,NA,71503.05,VO_33af0b5d88cce691de07,NA,FALSE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,TP,1.4725000000000001,CO_4432cb276ffc79e796e2;CO_9212e5e6ef4106525be2;CO_bae9aa4081f8783457c6;CO_c7c1b4da9b9f745dff12,71503.05,VO_33af0b5d88cce691de07,0.10528824112500001,TRUE
PE_00b38906ec1907c7d0dc,2024,4,1,ST,TSS,1806.667,CO_0132d427f091625ec3f7;CO_337fc3240de5c44b2a48;CO_a21aed068c88a5473da7;CO_fea2efbcc5750b571b83,71503.05,VO_33af0b5d88cce691de07,129.18220083435,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,NH4,NA,NA,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,NA,FALSE
PE_01024210b88310ac1815,2025,6,1,CT,NO2,0.7275,CO_3901949960a83f3132e2;CO_4401dfbd4b7faaf470f9;CO_dc7beace3fc12150af61;CO_eeab23fccdc4f5006277,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,0.030586602600000002,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,NO3,0.135,CO_346d9762550ed756bb47;CO_3565801e1ec386733ce2;CO_536b9ac36d9adc0b472f;CO_80ccd59a719f27671566,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,0.0056758644,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,OP,0.1785,CO_12051e9967d26fabc3b3;CO_8dfd13f4376053626e97;CO_b910260d6ccd1fedb991;CO_fb5316204aa75301303e,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,0.00750475404,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,Se,NA,NA,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,NA,FALSE
PE_01024210b88310ac1815,2025,6,1,CT,TDS,601,CO_82d5a2a5add9cc511072;CO_ba2c2468be7915d9f355;CO_d7b242422be5e62a8d67;CO_f333689aaf4012ba4978,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,25.26810744,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,TKN,0,CO_0f43d4158f76017edd9d;CO_5c3dafc293f759c56c3c;CO_c3c41d75036608201d44;CO_d83e303f681b94d24fdb,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,0,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,TN,NA,NA,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,NA,FALSE
PE_01024210b88310ac1815,2025,6,1,CT,TP,0.402,CO_59933d776452c8a5a00d;CO_9a1b6288c1d0bb977087;CO_c324b7cb65686a3faf89;CO_e2135c76ca7863e51154,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,0.016901462880000002,TRUE
PE_01024210b88310ac1815,2025,6,1,CT,TSS,333.33349999999996,CO_17eb4aa69de4a0aeae29;CO_5226202f05b577b3ef48;CO_6181578e353e0c308aaf;CO_a62873f149eaf7aba1ca,42043.44,VO_0a0b0bf045f3d2f6b319;VO_1e7246793e496e1f0fa6,14.01448700724,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,NH4,0,CO_22b80a6318e435fc52cc;CO_733f3fda0606d37a0e3b,28705.44,VO_cc82dde01f76622208d1,0,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,NO2,NA,NA,28705.44,VO_cc82dde01f76622208d1,NA,FALSE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,NO3,7.83,CO_a883209b00f5f9265f76;CO_eaa7de80f155ad3cb1a1,28705.44,VO_cc82dde01f76622208d1,0.22476359519999997,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,OP,0.06,CO_396f804443825586c128;CO_766cb53c753baedac5dc,28705.44,VO_cc82dde01f76622208d1,0.0017223263999999999,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,Se,NA,NA,28705.44,VO_cc82dde01f76622208d1,NA,FALSE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,TDS,NA,NA,28705.44,VO_cc82dde01f76622208d1,NA,FALSE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,TKN,0.774,CO_5805921783d4f48c7dda,28705.44,VO_cc82dde01f76622208d1,0.022218010559999998,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,TN,8.560500000000001,CO_dc55f7cfd39dd0d3fc79;CO_fc815a8369f5924d7b44,28705.44,VO_cc82dde01f76622208d1,0.24573291912000003,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,TP,1.066,CO_80b6b4d2701219ca5ada,28705.44,VO_cc82dde01f76622208d1,0.03059999904,TRUE
PE_01dfb8394999c3a08b1b,2015,5,2,CT,TSS,1166.6665,CO_628a48a65b4c3c449f32;CO_c284c7d2b6a0117664d2,28705.44,VO_cc82dde01f76622208d1,33.48967521576,TRUE
PE_01ea2f88880fff50efcb,2012,1,2,MT,NH4,NA,NA,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,NO2,NA,NA,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,NO3,10.143,CO_a2713a5c710ced404167,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,OP,0.14,CO_d59eced1ded07f84c145,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,Se,NA,NA,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,TDS,NA,NA,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,TKN,NA,NA,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,TN,2.133,CO_5007daee6eb542fd7818,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,TP,0.194,CO_a3ab7bbaf7390c1faafb,NA,NA,NA,FALSE
PE_01ea2f88880fff50efcb,2012,1,2,MT,TSS,272.4,CO_082b86d1dabd04fc1839,NA,NA,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,NH4,NA,NA,34386.73,VO_dc76b3fd137fe1478e2e,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,NO2,NA,NA,34386.73,VO_dc76b3fd137fe1478e2e,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,NO3,9.75,CO_a360748ed90aa02c3f79;CO_bca06ec2f99bc26e3bc0,34386.73,VO_dc76b3fd137fe1478e2e,0.33527061750000003,TRUE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,OP,0.0365,CO_38b83caefa1ef26940f1;CO_6d976934be74941fba57,34386.73,VO_dc76b3fd137fe1478e2e,0.001255115645,TRUE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,Se,NA,NA,34386.73,VO_dc76b3fd137fe1478e2e,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,TDS,NA,NA,34386.73,VO_dc76b3fd137fe1478e2e,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,TKN,3.1500000000000004,CO_44a91994cce74ed24439;CO_81aacf180df34c201f6a,34386.73,VO_dc76b3fd137fe1478e2e,0.10831819950000002,TRUE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,TN,NA,NA,34386.73,VO_dc76b3fd137fe1478e2e,NA,FALSE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,TP,0.21000000000000002,CO_0f47caa1afdc7b7c8f1b;CO_2e2f4263cfaaee7aaa1d,34386.73,VO_dc76b3fd137fe1478e2e,0.007221213300000001,TRUE
PE_01ef9362ba3276afc3a9,2017,2,1,MT,TSS,1119.1665,CO_2a385ec6542332dd1c10;CO_5c9b908ea39134201654,34386.73,VO_dc76b3fd137fe1478e2e,38.48447626054501,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,NH4,NA,NA,38338.45,VO_d8212d7c3da8ad31af56,NA,FALSE
PE_02b42436b7981ca07571,2024,4,2,MT,NO2,0,CO_3cb7cfaae343aed76bfb;CO_abbfc2b6da87b49139e8;CO_e7684b3d13dd994b4a93;CO_e7cb53c0f89e9bd4374a,38338.45,VO_d8212d7c3da8ad31af56,0,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,NO3,0.2155,CO_1b8f39475cb531e800c4;CO_1cea97c28cd639e0f330;CO_93919581b9314ddadcfe;CO_ef1956ff4324600bc95a,38338.45,VO_d8212d7c3da8ad31af56,0.008261935974999999,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,OP,0.3185,CO_2f74d62c5e51079f4e0d;CO_6e8d1a943f1298968273;CO_bff3992c1d4f9aa5a794;CO_e0e3fcdfb0803ca53891,38338.45,VO_d8212d7c3da8ad31af56,0.012210796324999999,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,Se,NA,NA,38338.45,VO_d8212d7c3da8ad31af56,NA,FALSE
PE_02b42436b7981ca07571,2024,4,2,MT,TDS,620,CO_406c649c18179a164f72;CO_893955eaa7b1b1b32f10;CO_e2eba231ef1a4fd3cc26;CO_eece4d77d98e1f5007f8,38338.45,VO_d8212d7c3da8ad31af56,23.769839,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,TKN,0,CO_5243263d41cab9e1cbdc;CO_7ddb44478c5fe21a66e7;CO_cea1f4fe80650694ba7c;CO_cf7dee3443a859943d9e,38338.45,VO_d8212d7c3da8ad31af56,0,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,TN,NA,NA,38338.45,VO_d8212d7c3da8ad31af56,NA,FALSE
PE_02b42436b7981ca07571,2024,4,2,MT,TP,0.6705000000000001,CO_0dfcebf485c29dd65394;CO_9e088cddb90e91e1ec3e;CO_d8ec3903c81cc4f2c290;CO_df34d853f2f2f1f14b92,38338.45,VO_d8212d7c3da8ad31af56,0.025705930725000003,TRUE
PE_02b42436b7981ca07571,2024,4,2,MT,TSS,443.33349999999996,CO_2de0aa8158a22f12e9db;CO_4d939cf34a293616b690;CO_548860d7012e86e18480;CO_f5ef15fb1c6e42111b73,38338.45,VO_d8212d7c3da8ad31af56,16.996719223074997,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,NH4,NA,NA,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,NA,FALSE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,NO2,0.813,CO_0e563c377fa1e2197ae4;CO_e1299b1fe6306876f513;CO_f462d26aa077aadb6df8;CO_f8a2a1141001a2a3a135,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,0.04447814870999999,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,NO3,0.14700000000000002,CO_90f285f8fb15c8bc72a4;CO_9b8f2fa45e4b5f1962f9;CO_ac1488e797545c402d48;CO_dae89e11241685c65efa,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,0.008042174490000002,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,OP,0.332,CO_3292bef42975c0ab63a2;CO_40fb7164e459a38813f3;CO_8c004c94eb689b3765cc;CO_abbb9233cee3e720b2a8,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,0.018163278440000003,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,Se,NA,NA,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,NA,FALSE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,TDS,708,CO_022dcaabd91950fd273f;CO_41164411f051e67b41f4;CO_64b9663ba7d579decac4;CO_e5cb520f4e9c788b8909,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,38.73373836,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,TKN,1.45,CO_24f692ed38057c7cf08e;CO_497cc1e88ac00e930a18;CO_4babc876be86317d0127;CO_cd2ed2d000e7d0e9826f,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,0.07932757149999999,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,TN,NA,NA,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,NA,FALSE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,TP,2.745,CO_483aab8b1f38f23d19a4;CO_74e70910949899071b1e;CO_8a376a996f6d7e958bbd;CO_9c93522c01b6a1b55b7c,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,0.15017529915,TRUE
PE_0373cedd6c6b07cdac38,2025,3,1,ST,TSS,1921.6665,CO_54e8ae4b54fbe10c4ac8;CO_8d3645e0e56c7842aab9;CO_a5215e527a9a67894a1e;CO_d7479ffb15b1c4d9b4f6,54708.67,VO_dd2eef21e1fcdd558309;VO_e97ad3c0c36ed7191b0a,105.131818398555,TRUE
PE_041660a509b242990967,2018,3,2,MT,NH4,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,NO2,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,NO3,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,OP,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,Se,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,TDS,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,TKN,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,TN,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,TP,NA,NA,NA,NA,NA,FALSE
PE_041660a509b242990967,2018,3,2,MT,TSS,NA,NA,NA,NA,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,NH4,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,NO2,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,NO3,7.457,CO_82ba9b272ce795cdea9a,24678,VO_b96ba4e2e40b37e05202,0.184023846,TRUE
PE_04c02bec0f0f9a370498,2012,3,2,MT,OP,0.117,CO_41cfc0d1f2d127b04555,24678,VO_b96ba4e2e40b37e05202,0.002887326,TRUE
PE_04c02bec0f0f9a370498,2012,3,2,MT,Se,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,TDS,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,TKN,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_04c02bec0f0f9a370498,2012,3,2,MT,TN,1.917,CO_8aafdc713980dccffebb,24678,VO_b96ba4e2e40b37e05202,0.047307726,TRUE
PE_04c02bec0f0f9a370498,2012,3,2,MT,TP,1,CO_998bae6a40b82ac12dd1,24678,VO_b96ba4e2e40b37e05202,0.024678,TRUE
PE_04c02bec0f0f9a370498,2012,3,2,MT,TSS,NA,NA,24678,VO_b96ba4e2e40b37e05202,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,NH4,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,NO2,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,NO3,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,OP,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,Se,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,TDS,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,TKN,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,TN,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,TP,NA,NA,NA,NA,NA,FALSE
PE_0503afb14c99d9e82049,2018,1,1,CT,TSS,NA,NA,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,NH4,NA,NA,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,NO2,NA,NA,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,NO3,8.149999999999999,CO_214c993d16c6ca97becc;CO_f3907a096c7c4b68d751,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,OP,0,CO_833cd8c0e698745b16da;CO_d40fbd13d527595c47ea,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,Se,0.0071,CO_2abf512165e466fa0bfb;CO_c8228f8d57233cd4d689,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,TDS,NA,NA,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,TKN,2.5,CO_2f9fdc64dc67313294ec;CO_5bba8f46cdedf6b48777,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,TN,NA,NA,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,TP,0.24,CO_09f7cb7bb38f019f431f;CO_5aca6f08b6780157a0da,NA,NA,NA,FALSE
PE_051cd85fc942217be314,2021,6,2,CT,TSS,763.3335,CO_8e8a4859570b9bf603b6;CO_cc98bda3770734887404,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,NH4,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,NO2,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,NO3,8.273,CO_3c54e95a9ac8c3b5eae9,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,OP,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,Se,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,TDS,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,TKN,3.423,CO_d80d4a47ee832a474d99,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,TN,NA,NA,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,TP,0.115,CO_de3d43caad2bd3c4f062,NA,NA,NA,FALSE
PE_0609bb3a38fc48d18c44,2013,2,1,CT,TSS,108.625,CO_fbb048687bf3c81dc3f3,NA,NA,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,NH4,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,NO2,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,NO3,8.128,CO_5524fe000ffd5c1743a6,9708,VO_56176662400919d6c0a4,0.078906624,TRUE
PE_06463f55c291ea1d15a9,2013,4,2,ST,OP,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,Se,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,TDS,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,TKN,6.718,CO_9841b7a33831ef01be43,9708,VO_56176662400919d6c0a4,0.065218344,TRUE
PE_06463f55c291ea1d15a9,2013,4,2,ST,TN,NA,NA,9708,VO_56176662400919d6c0a4,NA,FALSE
PE_06463f55c291ea1d15a9,2013,4,2,ST,TP,0.157,CO_22a2fa7d04248931a885,9708,VO_56176662400919d6c0a4,0.001524156,TRUE
PE_06463f55c291ea1d15a9,2013,4,2,ST,TSS,161,CO_ce6bedca3f2a54e05cb8,9708,VO_56176662400919d6c0a4,1.562988,TRUE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,NH4,NA,NA,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,NO2,0,CO_204ed30f363975c2fa94;CO_5228bcba37539039758f;CO_a953c30e476ae308c13a,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,NO3,6,CO_a1e93f34271e6752df35;CO_a4e95083ad6163ab0961;CO_d4c1e7b51c1914fdebfb,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,OP,0,CO_1de4d95a81eb1780d5c2;CO_1f594da9b409f7f4b9dc;CO_fcf1e4bf9cc9c1083647,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,Se,0.0063,CO_1dc64e316144b6a188af;CO_ccaebd01a0fd755e2485;CO_e635f3b6fa5d5abbe0ad,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,TDS,NA,NA,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,TKN,0,CO_6621ead3c9ec19dfbd65;CO_7c2355534ecc3a59cd73;CO_84d5d511604a52af9690,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,TN,NA,NA,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,TP,0.16,CO_15b9e0db83ca5103d0d8;CO_24eb60438e77548b2214;CO_451b01cbb6bdda2450c4,NA,NA,NA,FALSE
PE_0656666c2b33c1a71dfc,2022,3,2,ST,TSS,240,CO_133a57f8cf2b46396257;CO_5cfd69f37627f22d0044;CO_d6f39c453a99499ae870,NA,NA,NA,FALSE
PE_06726b0bbd436c0f2638,2016,1,1,MT,NH4,0.0835,CO_2f4e01068ce5298a7352;CO_762ee53f5339cbc7c949,9890.96,VO_ed2c5d04eed2e312fc5a,8.258951599999999e-4,TRUE
