Date,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,Operation,SWAT Implement,Tillage Code,Mixing Depth (mm),Mixing Efficiency,Area Fraction,Type / Note,Op System,Compute_Warning,Disturbance_Fraction,RowID,Window_ID,Window_Start,Window_End,Crop,Disturbance_Cum,Disturbance_CumAllYears
2013-09-30,JD 7980 Forage Harvester,,Kraft,,,Harvest Silage Corn,,,,,,,CT,,0.0,44,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-10-02,JD 7820,189.0,JD 640 Disc,15',,Vertical Disc,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (vertical-disc proxy),CT,,0.3,45,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,0.3,4.7757499999999995
2013-10-09,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,46,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.0125,5.48825
2013-11-18,JD 8310,205.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,47,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.04375,5.5195
2014-03-20,JD 4455,156.0,Dunham Lehr Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,48,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.075,5.55075
2014-03-27,JD 8310,205.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,49,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.2625,5.73825
2014-04-03,JD 8310,205.0,JD 915 V Ripper,~ 18.75 - 22.5 ft,,Vertical Ripper,V-Ripper,VRIPPER,350.0,0.25,1.0,Tillage,CT,,0.4375,50,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.7,6.17575
2014-04-11,JD 8310,205.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,51,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.73125,6.207
2014-04-11,JD 4440,144.0,Schmizer,,,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,53,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.7625,6.23825
2014-04-11,JD 7820,189.0,Hawkins 6 Row Bedder,6 rows,,Seedbed Conditioner,Soil Finisher,SOILFINS,75.0,0.55,1.0,"Tillage (Hawkins bedder when conditioning, not shaping beds)",CT,,0.20625000000000002,52,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.96875,6.4445
2014-05-06,JD 7820,189.0,7300 6 row,6 row,,Plant Grain Corn,,,,,,,CT,,0.0,54,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.96875,6.4445
2014-06-03,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,55,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.96875,6.4445
2014-06-25,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,56,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.9906249999999999,6.466374999999999
2014-12-02,,,JD 568 Round Baler 5x6,,,Bale,,,,,,,CT,,0.0,59,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.9906249999999999,6.466374999999999
2014-12-02,1660 Combine,,,,"Maybe custom this? Or say a combine, the same we use the next year",Harvest Grain Corn,,,,,,,CT,,0.0,57,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.9906249999999999,6.466374999999999
2014-12-02,,,Alloway Flail Shredder,,,Shred Stalks,,,,,,,CT,,0.0,58,4.0,2013-09-30 00:00:00.000000000,2014-12-02,grain corn,1.9906249999999999,6.466374999999999
2015-03-23,JD 7820,180.0,JD 640 Disc,15',,Disc,Tandem Disk (Reg),TANDEMRG,75.0,0.6,1.0,Tillage,CT,,0.22499999999999998,60,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.22499999999999998,6.691375
2015-03-23,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,61,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9374999999999999,7.403874999999999
2015-03-27,JD 4440,144.0,Dunham Lehr Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,62,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9687499999999999,7.435124999999999
2015-04-14,JD 4440,144.0,Dunham Lehr Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,64,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9999999999999999,7.466374999999999
2015-04-14,JD 6400,100.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,65,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9999999999999999,7.466374999999999
2015-04-14,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Seedbed condition,,,,,,,CT,,0.0,63,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9999999999999999,7.466374999999999
2015-04-30,JD 7820,189.0,7300 6 row,6 row,,Plant Grain Corn,,,,,,,CT,,0.0,66,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9999999999999999,7.466374999999999
2015-06-09,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,67,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,0.9999999999999999,7.466374999999999
2015-06-24,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,68,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,1.0218749999999999,7.48825
2015-11-16,1660 Combine,,,,,Harvest Grain Corn,,,,,,,CT,,0.0,69,5.0,2014-12-02 00:00:00.000000000,2015-11-16,grain corn,1.0218749999999999,7.48825
2015-11-23,,,JD 568 Round Baler 5x6,,,Bale Stalks,,,,,,,CT,,0.0,71,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,0.0,7.48825
2015-11-23,,,Alloway Flail Shredder,,,Shred Stalks,,,,,,,CT,,0.0,70,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,0.0,7.48825
2015-12-11,JD 4455,156.0,2 Shank Deep Ripper,,,Deep Ripper,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage (use VRIPPER 350/0.25 if V-ripper specified),CT,,0.4375,73,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,0.4375,7.92575
2015-12-11,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,75,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.15,8.63825
2015-12-11,JD 8345R,345.0,Landoll VT - Kraft,,"Don't know the tractor, but I say the one I use later. I'll end up combining implements anyway",Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,74,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.45,8.93825
2016-02-22,JD 8310,205.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,76,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.48125,8.9695
2016-02-24,JD 8310,205.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,77,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.66875,9.157
2016-03-01,JD 7820,189.0,6 Row Orthoman 1tRIPr,6 row,,Fertilizer Application,,,,,,,CT,,0.0,78,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.66875,9.157
2016-03-02,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,79,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.875,9.363249999999999
2016-03-02,JD 4450,158.0,Dunham Lehr Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,80,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.90625,9.394499999999999
2016-03-02,JD 4455,156.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,81,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.9762499999999998,9.4645
2016-03-03,,,Foundation Seed Drill,,"This wasn't a custom job, but probably makes sense to custom this out",Plant Barley,,,,,,,CT,,0.0,82,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.9762499999999998,9.4645
2016-05-05,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,83,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.9762499999999998,9.4645
2016-07-25,1660 Combine,,,,,Harvest Barley,,,,,,,CT,,0.0,84,6.0,2015-11-16 00:00:00.000000000,2016-07-25,barley,1.9762499999999998,9.4645
2016-07-26,,,JD 568 Round Baler 5x6,,,Bale Straw,,,,,,,CT,,0.0,85,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.0,9.4645
2016-09-02,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,86,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.0,9.4645
2016-09-03,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,87,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.0,9.4645
2017-03-10,JD 7820,189.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,89,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.03125,9.49575
2017-03-10,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,88,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.7437499999999999,10.20825
2017-03-14,JD 4455,156.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,90,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.7749999999999999,10.2395
2017-03-14,JD 8245R,245.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,91,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.9624999999999999,10.427
2017-04-10,JD 4440,144.0,Brillon Mulcher,15',,Cultimulch w/ Pre-plant Fertilizer,,,,,,,CT,,0.0,92,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,0.9624999999999999,10.427
2017-04-13,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,93,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.16875,10.633249999999999
2017-04-13,JD 4440,144.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,94,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.2,10.664499999999999
2017-04-19,JD 7820,189.0,7300 6 row,6 row,,Plant Silage Corn,,,,,,,CT,,0.0,95,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.2,10.664499999999999
2017-06-21,JD 7820,189.0,Eversman 1076 6 Row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,96,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.2218749999999998,10.686375
2017-10-13,JD 7980 Forage Harvester,,Kraft,,,Harvest Silage Corn,,,,,,,CT,,0.0,97,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.2218749999999998,10.686375
2017-11-21,JD 8245R,245.0,JD 2623VT,~26.5 - 40.67',,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,98,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,0.3,10.986374999999999
2018-03-23,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,99,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.0125,11.698875
2018-03-26,JD 6130R,130.0,Brillion Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,100,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.04375,11.730125
2018-04-03,JD 6130R,130.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,101,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.075,11.761375
2018-04-03,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,102,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.2625,11.948875
2018-04-18,JD 6130R,130.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,103,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.29375,11.980125
2018-05-01,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,104,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.29375,11.980125
2018-05-15,JD 8295R,295.0,Perfecta Field Cultivator,24',,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,105,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-15,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,106,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-17,JD 7820,189.0,Corrugator #1,,,Corrugator #1,,,,,,,CT,,0.0,107,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-18,,,JD 1710 Max Emerge 12 Row ,12 row,,Plant Dry Beans,,,,,,,CT,,0.0,108,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-06-25,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,109,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.3375,12.023874999999999
