Year,Analyte,Treatment,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,ObservedAnnualLoad_kg,ObservedAnnualLoadLower95_kg,ObservedAnnualLoadUpper95_kg
2015,TP,MT,12,12,1.0,Complete,0.04857,0.02845,0.06683
2015,TP,ST,12,12,1.0,Complete,0.02775,0.01522,0.04087
2015,TSS,CT,12,12,1.0,Complete,432.1,267.6,623.6
2015,TSS,MT,12,12,1.0,Complete,38.37,19.01,61.55
2015,TSS,ST,12,12,1.0,Complete,12.52,6.784,20.1
2016,NH4,CT,4,4,1.0,Complete,0.02479,0.007531,0.04491
2016,NH4,MT,4,4,1.0,Complete,0.001767,0.00101,0.002892
2016,NH4,ST,4,4,1.0,Complete,0.005642,0.003773,0.007511
2016,NO2,CT,4,0,0.0,Incomplete,-,-,-
2016,NO2,MT,4,0,0.0,Incomplete,-,-,-
2016,NO2,ST,4,0,0.0,Incomplete,-,-,-
2016,NO3,CT,4,4,1.0,Complete,0.7618,0.5756,1.055
2016,NO3,MT,4,4,1.0,Complete,0.1033,0.05286,0.1659
2016,NO3,ST,4,4,1.0,Complete,0.395,0.1821,0.6118
2016,OP,CT,4,4,1.0,Complete,0.009187,0.006788,0.01346
2016,OP,MT,4,4,1.0,Complete,0.0006672,0.000386,0.00105
2016,OP,ST,4,4,1.0,Complete,0.002495,0.001301,0.003877
2016,Se,CT,4,0,0.0,Incomplete,-,-,-
2016,Se,MT,4,0,0.0,Incomplete,-,-,-
2016,Se,ST,4,0,0.0,Incomplete,-,-,-
2016,TDS,CT,4,0,0.0,Incomplete,-,-,-
2016,TDS,MT,4,0,0.0,Incomplete,-,-,-
2016,TDS,ST,4,0,0.0,Incomplete,-,-,-
2016,TKN,CT,4,4,1.0,Complete,0.01707,0.005076,0.03884
2016,TKN,MT,4,4,1.0,Complete,0.002356,0.0009854,0.004334
2016,TKN,ST,4,4,1.0,Complete,0.008395,0.001663,0.01513
2016,TN,CT,4,4,1.0,Complete,0.7222,0.5494,1.008
2016,TN,MT,4,4,1.0,Complete,0.09864,0.04907,0.1697
2016,TN,ST,4,4,1.0,Complete,0.3764,0.1734,0.5888
2016,TP,CT,4,4,1.0,Complete,0.002254,0.000719,0.004242
2016,TP,MT,4,4,1.0,Complete,0.001149,9.197e-05,0.002975
2016,TP,ST,4,4,1.0,Complete,0.0007506,0.0004878,0.001014
2016,TSS,CT,4,4,1.0,Complete,165.9,79.4,316.4
2016,TSS,MT,4,4,1.0,Complete,5.005,2.212,7.798
2016,TSS,ST,4,4,1.0,Complete,29.1,20.18,38.6
2017,NH4,CT,12,0,0.0,Incomplete,-,-,-
2017,NH4,MT,12,0,0.0,Incomplete,-,-,-
2017,NH4,ST,12,0,0.0,Incomplete,-,-,-
2017,NO2,CT,12,0,0.0,Incomplete,-,-,-
2017,NO2,MT,12,0,0.0,Incomplete,-,-,-
2017,NO2,ST,12,0,0.0,Incomplete,-,-,-
2017,NO3,CT,12,12,1.0,Complete,5.277,3.591,7.446
2017,NO3,MT,12,12,1.0,Complete,1.768,0.9787,2.707
2017,NO3,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2017,OP,CT,12,12,1.0,Complete,0.01068,0.002518,0.01923
2017,OP,MT,12,12,1.0,Complete,0.002902,0.0002003,0.006323
2017,OP,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2017,Se,CT,12,0,0.0,Incomplete,-,-,-
2017,Se,MT,12,0,0.0,Incomplete,-,-,-
2017,Se,ST,12,0,0.0,Incomplete,-,-,-
2017,TDS,CT,12,0,0.0,Incomplete,-,-,-
2017,TDS,MT,12,0,0.0,Incomplete,-,-,-
2017,TDS,ST,12,0,0.0,Incomplete,-,-,-
2017,TKN,CT,12,12,1.0,Complete,2.826,0.9491,5.226
2017,TKN,MT,12,12,1.0,Complete,0.3271,0.1311,0.5768
2017,TKN,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2017,TN,CT,12,0,0.0,Incomplete,-,-,-
2017,TN,MT,12,0,0.0,Incomplete,-,-,-
2017,TN,ST,12,0,0.0,Incomplete,-,-,-
2017,TP,CT,12,12,1.0,Complete,0.1715,0.09475,0.2585
2017,TP,MT,12,12,1.0,Complete,0.04185,0.0203,0.06757
2017,TP,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2017,TSS,CT,12,12,1.0,Complete,2163,1041,3359
2017,TSS,MT,12,12,1.0,Complete,105.2,47.55,177.5
2017,TSS,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2018,NH4,CT,10,0,0.0,Incomplete,-,-,-
2018,NH4,MT,10,0,0.0,Incomplete,-,-,-
2018,NH4,ST,10,0,0.0,Incomplete,-,-,-
2018,NO2,CT,10,0,0.0,Incomplete,-,-,-
2018,NO2,MT,10,0,0.0,Incomplete,-,-,-
2018,NO2,ST,10,0,0.0,Incomplete,-,-,-
2018,NO3,CT,10,0,0.0,Incomplete,-,-,-
2018,NO3,MT,10,0,0.0,Incomplete,-,-,-
2018,NO3,ST,10,0,0.0,Incomplete,-,-,-
2018,OP,CT,10,0,0.0,Incomplete,-,-,-
2018,OP,MT,10,0,0.0,Incomplete,-,-,-
2018,OP,ST,10,0,0.0,Incomplete,-,-,-
2018,Se,CT,10,0,0.0,Incomplete,-,-,-
2018,Se,MT,10,0,0.0,Incomplete,-,-,-
2018,Se,ST,10,0,0.0,Incomplete,-,-,-
2018,TDS,CT,10,0,0.0,Incomplete,-,-,-
2018,TDS,MT,10,0,0.0,Incomplete,-,-,-
2018,TDS,ST,10,0,0.0,Incomplete,-,-,-
2018,TKN,CT,10,0,0.0,Incomplete,-,-,-
2018,TKN,MT,10,0,0.0,Incomplete,-,-,-
2018,TKN,ST,10,0,0.0,Incomplete,-,-,-
2018,TN,CT,10,0,0.0,Incomplete,-,-,-
2018,TN,MT,10,0,0.0,Incomplete,-,-,-
2018,TN,ST,10,0,0.0,Incomplete,-,-,-
2018,TP,CT,10,0,0.0,Incomplete,-,-,-
2018,TP,MT,10,0,0.0,Incomplete,-,-,-
2018,TP,ST,10,0,0.0,Incomplete,-,-,-
2018,TSS,CT,10,0,0.0,Incomplete,-,-,-
2018,TSS,MT,10,0,0.0,Incomplete,-,-,-
2018,TSS,ST,10,0,0.0,Incomplete,-,-,-
2019,NH4,CT,2,0,0.0,Incomplete,-,-,-
2019,NH4,MT,2,0,0.0,Incomplete,-,-,-
2019,NH4,ST,2,0,0.0,Incomplete,-,-,-
2019,NO2,CT,2,0,0.0,Incomplete,-,-,-
2019,NO2,MT,2,0,0.0,Incomplete,-,-,-
2019,NO2,ST,2,0,0.0,Incomplete,-,-,-
2019,NO3,CT,2,0,0.0,Incomplete,-,-,-
2019,NO3,MT,2,0,0.0,Incomplete,-,-,-
2019,NO3,ST,2,0,0.0,Incomplete,-,-,-
2019,OP,CT,2,0,0.0,Incomplete,-,-,-
2019,OP,MT,2,0,0.0,Incomplete,-,-,-
2019,OP,ST,2,0,0.0,Incomplete,-,-,-
2019,Se,CT,2,0,0.0,Incomplete,-,-,-
2019,Se,MT,2,0,0.0,Incomplete,-,-,-
2019,Se,ST,2,0,0.0,Incomplete,-,-,-
2019,TDS,CT,2,0,0.0,Incomplete,-,-,-
2019,TDS,MT,2,0,0.0,Incomplete,-,-,-
2019,TDS,ST,2,0,0.0,Incomplete,-,-,-
2019,TKN,CT,2,0,0.0,Incomplete,-,-,-
2019,TKN,MT,2,0,0.0,Incomplete,-,-,-
2019,TKN,ST,2,0,0.0,Incomplete,-,-,-
2019,TN,CT,2,0,0.0,Incomplete,-,-,-
2019,TN,MT,2,0,0.0,Incomplete,-,-,-
2019,TN,ST,2,0,0.0,Incomplete,-,-,-
2019,TP,CT,2,0,0.0,Incomplete,-,-,-
2019,TP,MT,2,0,0.0,Incomplete,-,-,-
2019,TP,ST,2,0,0.0,Incomplete,-,-,-
2019,TSS,CT,2,0,0.0,Incomplete,-,-,-
2019,TSS,MT,2,0,0.0,Incomplete,-,-,-
2019,TSS,ST,2,0,0.0,Incomplete,-,-,-
2020,NH4,CT,16,0,0.0,Incomplete,-,-,-
2020,NH4,MT,15,0,0.0,Incomplete,-,-,-
2020,NH4,ST,15,0,0.0,Incomplete,-,-,-
2020,NO2,CT,16,0,0.0,Incomplete,-,-,-
2020,NO2,MT,15,0,0.0,Incomplete,-,-,-
2020,NO2,ST,15,0,0.0,Incomplete,-,-,-
2020,NO3,CT,16,2,0.125,Incomplete,-,-,-
2020,NO3,MT,15,0,0.0,Incomplete,-,-,-
2020,NO3,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2020,OP,CT,16,2,0.125,Incomplete,-,-,-
2020,OP,MT,15,0,0.0,Incomplete,-,-,-
2020,OP,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2020,Se,CT,16,2,0.125,Incomplete,-,-,-
2020,Se,MT,15,0,0.0,Incomplete,-,-,-
2020,Se,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2020,TDS,CT,16,0,0.0,Incomplete,-,-,-
2020,TDS,MT,15,0,0.0,Incomplete,-,-,-
2020,TDS,ST,15,0,0.0,Incomplete,-,-,-
2020,TKN,CT,16,2,0.125,Incomplete,-,-,-
2020,TKN,MT,15,0,0.0,Incomplete,-,-,-
2020,TKN,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2020,TN,CT,16,0,0.0,Incomplete,-,-,-
2020,TN,MT,15,0,0.0,Incomplete,-,-,-
2020,TN,ST,15,0,0.0,Incomplete,-,-,-
2020,TP,CT,16,2,0.125,Incomplete,-,-,-
2020,TP,MT,15,0,0.0,Incomplete,-,-,-
2020,TP,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2020,TSS,CT,16,2,0.125,Incomplete,-,-,-
2020,TSS,MT,15,0,0.0,Incomplete,-,-,-
2020,TSS,ST,15,6,0.4,Incomplete,-,-,-
2021,NH4,CT,12,0,0.0,Incomplete,-,-,-
2021,NH4,MT,12,0,0.0,Incomplete,-,-,-
2021,NH4,ST,12,0,0.0,Incomplete,-,-,-
2021,NO2,CT,12,0,0.0,Incomplete,-,-,-
2021,NO2,MT,12,0,0.0,Incomplete,-,-,-
2021,NO2,ST,12,0,0.0,Incomplete,-,-,-
2021,NO3,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,NO3,MT,12,6,0.5,Incomplete,-,-,-
2021,NO3,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2021,OP,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,OP,MT,12,6,0.5,Incomplete,-,-,-
2021,OP,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2021,Se,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,Se,MT,12,6,0.5,Incomplete,-,-,-
2021,Se,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2021,TDS,CT,12,0,0.0,Incomplete,-,-,-
2021,TDS,MT,12,0,0.0,Incomplete,-,-,-
2021,TDS,ST,12,0,0.0,Incomplete,-,-,-
2021,TKN,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,TKN,MT,12,6,0.5,Incomplete,-,-,-
2021,TKN,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2021,TN,CT,12,0,0.0,Incomplete,-,-,-
2021,TN,MT,12,0,0.0,Incomplete,-,-,-
2021,TN,ST,12,0,0.0,Incomplete,-,-,-
2021,TP,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,TP,MT,12,6,0.5,Incomplete,-,-,-
2021,TP,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2021,TSS,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,TSS,MT,12,6,0.5,Incomplete,-,-,-
2021,TSS,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2022,NH4,CT,17,0,0.0,Incomplete,-,-,-
2022,NH4,MT,17,0,0.0,Incomplete,-,-,-
2022,NH4,ST,17,0,0.0,Incomplete,-,-,-
2022,NO2,CT,17,0,0.0,Incomplete,-,-,-
2022,NO2,MT,17,0,0.0,Incomplete,-,-,-
2022,NO2,ST,17,0,0.0,Incomplete,-,-,-
2022,NO3,CT,17,0,0.0,Incomplete,-,-,-
2022,NO3,MT,17,0,0.0,Incomplete,-,-,-
2022,NO3,ST,17,0,0.0,Incomplete,-,-,-
2022,OP,CT,17,0,0.0,Incomplete,-,-,-
2022,OP,MT,17,0,0.0,Incomplete,-,-,-
2022,OP,ST,17,0,0.0,Incomplete,-,-,-
2022,Se,CT,17,0,0.0,Incomplete,-,-,-
2022,Se,MT,17,0,0.0,Incomplete,-,-,-
2022,Se,ST,17,0,0.0,Incomplete,-,-,-
2022,TDS,CT,17,0,0.0,Incomplete,-,-,-
2022,TDS,MT,17,0,0.0,Incomplete,-,-,-
2022,TDS,ST,17,0,0.0,Incomplete,-,-,-
2022,TKN,CT,17,0,0.0,Incomplete,-,-,-
2022,TKN,MT,17,0,0.0,Incomplete,-,-,-
2022,TKN,ST,17,0,0.0,Incomplete,-,-,-
2022,TN,CT,17,0,0.0,Incomplete,-,-,-
2022,TN,MT,17,0,0.0,Incomplete,-,-,-
2022,TN,ST,17,0,0.0,Incomplete,-,-,-
2022,TP,CT,17,0,0.0,Incomplete,-,-,-
2022,TP,MT,17,0,0.0,Incomplete,-,-,-
2022,TP,ST,17,0,0.0,Incomplete,-,-,-
2022,TSS,CT,17,0,0.0,Incomplete,-,-,-
2022,TSS,MT,17,0,0.0,Incomplete,-,-,-
2022,TSS,ST,17,0,0.0,Incomplete,-,-,-
2023,NH4,CT,14,0,0.0,Incomplete,-,-,-
2023,NH4,MT,14,0,0.0,Incomplete,-,-,-
2023,NH4,ST,14,0,0.0,Incomplete,-,-,-
2023,NO2,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,NO2,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,NO2,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,NO3,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,NO3,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,NO3,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,OP,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,OP,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,OP,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,Se,CT,14,0,0.0,Incomplete,-,-,-
2023,Se,MT,14,0,0.0,Incomplete,-,-,-
2023,Se,ST,14,0,0.0,Incomplete,-,-,-
2023,TDS,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TDS,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TDS,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TKN,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TKN,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TKN,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TN,CT,14,0,0.0,Incomplete,-,-,-
2023,TN,MT,14,0,0.0,Incomplete,-,-,-
2023,TN,ST,14,0,0.0,Incomplete,-,-,-
2023,TP,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TP,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TP,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TSS,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TSS,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,TSS,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2024,NH4,CT,8,0,0.0,Incomplete,-,-,-
2024,NH4,MT,8,0,0.0,Incomplete,-,-,-
2024,NH4,ST,8,0,0.0,Incomplete,-,-,-
2024,NO2,CT,8,5,0.625,Incomplete,-,-,-
2024,NO2,MT,8,6,0.75,Incomplete,-,-,-
2024,NO2,ST,8,7,0.875,Incomplete,-,-,-
2024,NO3,CT,8,5,0.625,Incomplete,-,-,-
2024,NO3,MT,8,6,0.75,Incomplete,-,-,-
2024,NO3,ST,8,7,0.875,Incomplete,-,-,-
2024,OP,CT,8,5,0.625,Incomplete,-,-,-
2024,OP,MT,8,6,0.75,Incomplete,-,-,-
2024,OP,ST,8,7,0.875,Incomplete,-,-,-
2024,Se,CT,8,0,0.0,Incomplete,-,-,-
2024,Se,MT,8,0,0.0,Incomplete,-,-,-
2024,Se,ST,8,0,0.0,Incomplete,-,-,-
2024,TDS,CT,8,5,0.625,Incomplete,-,-,-
2024,TDS,MT,8,6,0.75,Incomplete,-,-,-
2024,TDS,ST,8,7,0.875,Incomplete,-,-,-
2024,TKN,CT,8,5,0.625,Incomplete,-,-,-
2024,TKN,MT,8,6,0.75,Incomplete,-,-,-
2024,TKN,ST,8,7,0.875,Incomplete,-,-,-
2024,TN,CT,8,0,0.0,Incomplete,-,-,-
2024,TN,MT,8,0,0.0,Incomplete,-,-,-
2024,TN,ST,8,0,0.0,Incomplete,-,-,-
2024,TP,CT,8,5,0.625,Incomplete,-,-,-
2024,TP,MT,8,6,0.75,Incomplete,-,-,-
2024,TP,ST,8,7,0.875,Incomplete,-,-,-
2024,TSS,CT,8,5,0.625,Incomplete,-,-,-
2024,TSS,MT,8,6,0.75,Incomplete,-,-,-
2024,TSS,ST,8,7,0.875,Incomplete,-,-,-
2025,NH4,CT,16,0,0.0,Incomplete,-,-,-
2025,NH4,MT,16,0,0.0,Incomplete,-,-,-
2025,NH4,ST,16,0,0.0,Incomplete,-,-,-
2025,NO2,CT,16,12,0.75,Incomplete,-,-,-
2025,NO2,MT,16,12,0.75,Incomplete,-,-,-
2025,NO2,ST,16,12,0.75,Incomplete,-,-,-
2025,NO3,CT,16,12,0.75,Incomplete,-,-,-
2025,NO3,MT,16,12,0.75,Incomplete,-,-,-
2025,NO3,ST,16,12,0.75,Incomplete,-,-,-
2025,OP,CT,16,12,0.75,Incomplete,-,-,-
2025,OP,MT,16,12,0.75,Incomplete,-,-,-
2025,OP,ST,16,12,0.75,Incomplete,-,-,-
2025,Se,CT,16,0,0.0,Incomplete,-,-,-
2025,Se,MT,16,0,0.0,Incomplete,-,-,-
2025,Se,ST,16,0,0.0,Incomplete,-,-,-
2025,TDS,CT,16,12,0.75,Incomplete,-,-,-
2025,TDS,MT,16,12,0.75,Incomplete,-,-,-
2025,TDS,ST,16,12,0.75,Incomplete,-,-,-
2025,TKN,CT,16,12,0.75,Incomplete,-,-,-
2025,TKN,MT,16,12,0.75,Incomplete,-,-,-
2025,TKN,ST,16,12,0.75,Incomplete,-,-,-
2025,TN,CT,16,0,0.0,Incomplete,-,-,-
2025,TN,MT,16,0,0.0,Incomplete,-,-,-
