analyte,treatment,observed_value_label,observed_subtotal_kg,first_observed_year,last_observed_year,n_observed_annual_values,missing_years,n_contributing_events,n_contributing_rows,source_file,source_units,output_units,conversion_factor_to_kg,coverage_warning,provisional_qc_flag,provisional_qc_reason
OP,MT,observed subtotal,0.92593581533,2011,2025,10,2013;2018;2019;2020;2022,148,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
OP,ST,observed subtotal,1.36772816624,2011,2025,11,2013;2018;2019;2022,191,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
Se,CT,observed subtotal,0.001350931149,2020,2021,2,2011;2012;2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025,12,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
Se,MT,observed subtotal,0.000685944746,2021,2021,1,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025,11,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
Se,ST,observed subtotal,0.002851095135,2020,2021,2,2011;2012;2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025,25,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TDS,CT,observed subtotal,3871.8529206400003,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,100,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TDS,MT,observed subtotal,4407.9047469,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,92,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TDS,ST,observed subtotal,4709.612554619999,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,108,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TKN,CT,observed subtotal,13.845976553140002,2013,2025,10,2011;2012;2018;2019;2022,163,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TKN,MT,observed subtotal,8.740123549930003,2013,2025,9,2011;2012;2018;2019;2020;2022,141,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TKN,ST,observed subtotal,9.44908490047,2013,2025,10,2011;2012;2018;2019;2022,183,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TN,CT,observed subtotal,9.13244138064,2011,2016,5,2013;2017;2018;2019;2020;2021;2022;2023;2024;2025,45,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TN,MT,observed subtotal,1.99033471606,2011,2016,5,2013;2017;2018;2019;2020;2021;2022;2023;2024;2025,29,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TN,ST,observed subtotal,3.1995373692699998,2011,2016,5,2013;2017;2018;2019;2020;2021;2022;2023;2024;2025,38,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TP,CT,observed subtotal,8.30858833598,2011,2025,12,2018;2019;2022,188,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TP,MT,observed subtotal,5.934586090790001,2011,2025,11,2018;2019;2020;2022,156,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TP,ST,observed subtotal,11.048039192320001,2011,2025,12,2018;2019;2022,201,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TSS,CT,observed subtotal,13352.659471588224,2011,2025,12,2018;2019;2022,198,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TSS,MT,observed subtotal,7276.353484942366,2011,2025,11,2018;2019;2020;2022,172,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
TSS,ST,observed subtotal,13545.26036130984,2011,2025,12,2018;2019;2022,218,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
