PhysicalEventID,Year,Treatment,Analyte,Concentration_mg_L,Volume_L,Load_kg,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,central_estimate_type,concentration_resolution,volume_resolution
PE_013bf97cfac8f24b53cf,2023,ST,NH4,0.4655518976460582,51611.72113374758,0.024027934714595356,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NO2,0.0,51611.72113374758,0.0,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NO3,2.9627414029550185,51611.72113374758,0.1529121830807225,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NOx,4.103522487974763,51611.72113374758,0.2117898583154155,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NPOC,2.323755910222406,51611.72113374758,0.11993304202129661,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,OP,0.013246029570461908,51611.72113374758,0.0006836503843200542,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,Se,0.12078501796380683,51611.72113374758,0.006233922664282691,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TDS,907.9860613055362,51611.72113374758,46.862723389431174,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TKN,0.7559139891413406,51611.72113374758,0.03901402200866157,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TN,1.4298088596140137,51611.72113374758,0.07379489613696012,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TP,0.4019247753375886,51611.72113374758,0.02074402942146777,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TSP,0.2912213624677448,51611.72113374758,0.01503043574787527,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TSS,276.5819075303814,51611.72113374758,14.274868282098005,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,ICP,0.2886823476789794,16748.937001884606,0.004835122454831374,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NH4,0.28345882470368267,16748.937001884606,0.004747633997590233,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NO2,0.3691185819142214,16748.937001884606,0.006182343874706278,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NO3,3.9035451889810515,16748.937001884606,0.06538023245425337,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NOx,4.355028388305072,16748.937001884606,0.07294209611714071,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NPOC,4.9400747765134785,16748.937001884606,0.08274100121642342,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,OP,0.09536790871004976,16748.937001884606,0.0015973110949861055,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,Se,0.05293884949023296,16748.937001884606,0.0008866694550641629,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TDS,9.616545489459535,16748.937001884606,0.1610669145787153,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TKN,2.7247948664308757,16748.937001884606,0.04563741756090931,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TN,2.6999664308388804,16748.937001884606,0.04522156765732364,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TP,0.4692309032813737,16748.937001884606,0.007859118838397136,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TSP,0.271801104200151,16748.937001884606,0.004552379571291003,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TSS,516.630351195906,16748.937001884606,8.653009205441748,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,ICP,0.5307671687471862,51800.21986965221,0.027493856040697044,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,NH4,0.49873521994540415,51800.21986965221,0.02583459404991129,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,NO2,0.011040224743424207,51800.21986965221,0.0005718860691197486,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,NO3,8.253857862471525,51800.21986965221,0.4275516520488826,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,NOx,3.806149523236025,51800.21986965221,0.19715938216039802,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,NPOC,3.857479471939761,51800.21986965221,0.19981828478914954,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,OP,0.16436560028674663,51800.21986965221,0.008514174233860845,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,Se,0.2831635030642518,51800.21986965221,0.014667931717789181,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TDS,1209.719116025605,51800.21986965221,62.663716190647655,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TKN,0.8667315119016152,51800.21986965221,0.044896882884459755,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TN,2.5486466696712964,51800.21986965221,0.13202045785903002,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TP,0.6138842457369713,51800.21986965221,0.03179933890369072,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TSP,0.5412577463782998,51800.21986965221,0.02803727026854838,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_02f279769c003d107924,2024,MT,TSS,932.6954463226882,51800.21986965221,48.31382919093865,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,ICP,0.0,30799.481484636115,0.0,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NH4,0.065964736773554,30799.481484636115,0.0020316796888959713,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NO2,0.0,30799.481484636115,0.0,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NO3,4.914500434975332,30799.481484636115,0.15136406515325884,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NOx,1.5242260923776492,30799.481484636115,0.04694537331058466,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,NPOC,5.734445979175065,30799.481484636115,0.17661796276024844,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,OP,0.004567582243334899,30799.481484636115,0.0001406791647331459,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,Se,0.0,30799.481484636115,0.0,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TDS,3.5151088948728573,30799.481484636115,0.10826353132411629,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TKN,0.07590775645933559,30799.481484636115,0.002337919539609574,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TN,4.441802708445397,30799.481484636115,0.13680522027717054,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TP,0.010162305523298987,30799.481484636115,0.00031299374080606245,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TSP,0.0,30799.481484636115,0.0,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_0331d4d7e21b358e5bac,2016,ST,TSS,223.18638720894114,30799.481484636115,6.874025000464609,2,2,1,ISC,1,Bubbler,1,"NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,ICP,0.0674899021246154,16223.753653698011,0.0010949395461819504,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NH4,0.05879074600633053,16223.753653698011,0.0009538065803238368,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NO2,0.12080421156183582,16223.753653698011,0.0019598977687084415,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NO3,2.6309837572639188,16223.753653698011,0.04268443234473062,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NOx,2.954122058761425,16223.753653698011,0.04792694854430056,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,NPOC,3.443657855457878,16223.753653698011,0.055869056714570604,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,OP,0.0,16223.753653698011,0.0,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,Se,0.0,16223.753653698011,0.0,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TDS,6.022844983320493,16223.753653698011,0.09771315330380258,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TKN,1.2401093899312068,16223.753653698011,0.020119229245881626,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TN,1.7473807678948359,16223.753653698011,0.028349075117535483,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TP,0.18143279923189606,16223.753653698011,0.0029435210394391314,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TSP,0.05879074600633053,16223.753653698011,0.0009538065803238368,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_04357ecb542a93ec3e9a,2019,MT,TSS,404.1403083891068,16223.753653698011,6.556672804834412,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,ICP,0.035336767484828065,12689.218464145208,0.0004483959624316863,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,NH4,0.02869960312150037,12689.218464145208,0.0003641755338429819,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,NO2,0.20836837077948123,12689.218464145208,0.002644031777838848,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,NO3,3.62309367687034,12689.218464145208,0.04597422718187087,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,NOx,2.325189106467313,12689.218464145208,0.029504832542414327,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,NPOC,2.666020559601683,12689.218464145208,0.033829717310688415,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,OP,0.10590003820103501,12689.218464145208,0.0013437887200942564,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,Se,0.0,12689.218464145208,0.0,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TDS,5.028338563063043,12689.218464145208,0.06380568653839294,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TKN,1.115115982210202,12689.218464145208,0.014149950311125113,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TN,1.6469049532845865,12689.218464145208,0.020897936741910976,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TP,0.3471555209788828,12689.218464145208,0.004405132246735189,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TSP,0.021675215434693657,12689.218464145208,0.0002750415439082399,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_044d45e4ebb1080b205a,2018,ST,TSS,321.592529406645,12689.218464145208,4.08075786207796,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,ICP,0.3483337092604301,20572.539772583274,0.007166109087891658,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,NH4,0.3884791696669097,20572.539772583274,0.007992003168792625,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,NO2,0.39554830385974066,20572.539772583274,0.008137433213132369,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,NO3,5.580940989577655,20572.539772583274,0.11481413047652657,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,NOx,5.1077895669297115,20572.539772583274,0.10508020401564738,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,NPOC,5.551296744085464,20572.539772583274,0.11420427305711024,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
PE_046aab43b1be567757c6,2013,MT,OP,0.4114461391362303,20572.539772583274,0.00846449206165593,1,1,1,GBW,1,Transducer,1,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",1,False,1,1,1,Transducer,1,10 V,14,physical_event_point_total,median,median
