Year,Treatment,Rep,ExpectedIrrigationLabels,n_expected_physical_events,n_observed_event_volumes,MissingIrrigationLabels,observed_event_fraction,PlotComplete,ObservedReplicateAnnualVolume_L,n_complete_plots,ObservedAnnualVolume_kL,ObservedSampleSD_L,ObservedSE_L,ObservedMinimum_L,ObservedMaximum_L,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType,CompletenessDefinition
2016,CT,2,1;2,2,2,,1.0,Complete,6.39e+04,2.0,76.61,1.798e+04,1.271e+04,6.39e+04,8.932e+04,63.9,89.32,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2016,MT,1,1;2,2,2,,1.0,Complete,1.288e+04,2.0,10.32,3618,2558,7762,1.288e+04,7.762,12.88,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2016,MT,2,1;2,2,2,,1.0,Complete,7762,2.0,10.32,3618,2558,7762,1.288e+04,7.762,12.88,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2016,ST,1,1;2,2,2,,1.0,Complete,5.107e+04,2.0,39.1,1.693e+04,1.197e+04,2.713e+04,5.107e+04,27.13,51.07,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2016,ST,2,1;2,2,2,,1.0,Complete,2.713e+04,2.0,39.1,1.693e+04,1.197e+04,2.713e+04,5.107e+04,27.13,51.07,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,CT,1,1;2;3;4;5;6,6,6,,1.0,Complete,1.981e+05,2.0,297.5,1.406e+05,9.941e+04,1.981e+05,3.969e+05,198.1,396.9,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,CT,2,1;2;3;4;5;6,6,6,,1.0,Complete,3.969e+05,2.0,297.5,1.406e+05,9.941e+04,1.981e+05,3.969e+05,198.1,396.9,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,MT,1,1;2;3;4;5;6,6,6,,1.0,Complete,9.428e+04,2.0,96.21,2735,1934,9.428e+04,9.815e+04,94.28,98.15,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,MT,2,1;2;3;4;5;6,6,6,,1.0,Complete,9.815e+04,2.0,96.21,2735,1934,9.428e+04,9.815e+04,94.28,98.15,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,ST,1,1;2;3;4;5;6,6,6,,1.0,Complete,1.218e+05,2.0,77.35,6.291e+04,4.449e+04,3.286e+04,1.218e+05,32.86,121.8,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2017,ST,2,1;2;3;4;5;6,6,6,,1.0,Complete,3.286e+04,2.0,77.35,6.291e+04,4.449e+04,3.286e+04,1.218e+05,32.86,121.8,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,CT,1,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,CT,2,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,MT,1,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,MT,2,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,ST,1,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2018,ST,2,1;2;3;4;5,5,0,1;2;3;4;5,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,CT,1,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,CT,2,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,MT,1,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,MT,2,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,ST,1,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2019,ST,2,1,1,0,1,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,CT,1,1;2;3;4;5;6;7,7,1,1;2;4;5;6;7,0.14285714285714285,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,CT,2,1;2;3;4;5;6;7,7,1,1;2;4;5;6;7,0.14285714285714285,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,MT,1,1;2;3;4;5;6;7,7,0,1;2;3;4;5;6;7,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,MT,2,1;2;3;4;5;6;7,7,0,1;2;3;4;5;6;7,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,ST,1,1;2;3;4;5;6;7,7,6,1,0.8571428571428571,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2020,ST,2,1;2;3;4;5;6;7,7,1,1;2;4;5;6;7,0.14285714285714285,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,CT,1,1;2;3;4;5;6,6,3,4;5;6,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,CT,2,1;2;3;4;5;6,6,2,3;4;5;6,0.3333333333333333,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,MT,1,1;2;3;4;5;6,6,3,4;5;6,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,MT,2,1;2;3;4;5;6,6,3,3;4;6,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,ST,1,1;2;3;4;5;6,6,5,6,0.8333333333333334,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2021,ST,2,1;2;3;4;5;6,6,2,3;4;5;6,0.3333333333333333,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,CT,1,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,CT,2,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,MT,1,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,MT,2,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,ST,1,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2022,ST,2,1;2;3;4;5;6;7;8,8,0,1;2;3;4;5;6;7;8,0.0,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,CT,1,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,CT,2,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,MT,1,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,MT,2,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,ST,1,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2023,ST,2,1;2;3;4;5;S1;S2,7,5,S1;S2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,CT,1,1;2;3;4,4,3,4,0.75,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,CT,2,1;2;3;4,4,2,2;3,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,MT,1,1;2;3;4,4,2,1;2,0.5,Incomplete,-,1.0,189.8,-,-,1.898e+05,1.898e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,MT,2,1;2;3;4,4,4,,1.0,Complete,1.898e+05,1.0,189.8,-,-,1.898e+05,1.898e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,ST,1,1;2;3;4,4,3,2,0.75,Incomplete,-,1.0,207.7,-,-,2.077e+05,2.077e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2024,ST,2,1;2;3;4,4,4,,1.0,Complete,2.077e+05,1.0,207.7,-,-,2.077e+05,2.077e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,CT,1,1;2;3;4;5;6;7;S1,8,7,S1,0.875,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,CT,2,1;2;3;4;5;6;7;S1,8,7,S1,0.875,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,MT,1,1;2;3;4;5;6;7;S1,8,7,S1,0.875,Incomplete,-,1.0,395.8,-,-,3.958e+05,3.958e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,MT,2,1;2;3;4;5;6;7;S1,8,8,,1.0,Complete,3.958e+05,1.0,395.8,-,-,3.958e+05,3.958e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,ST,1,1;2;3;4;5;6;7;S1,8,7,S1,0.875,Incomplete,-,1.0,380.1,-,-,3.801e+05,3.801e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2025,ST,2,1;2;3;4;5;6;7;S1,8,8,,1.0,Complete,3.801e+05,1.0,380.1,-,-,3.801e+05,3.801e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
