Year,Treatment,Rep,n_expected_physical_events,ExpectedIrrigationLabels,n_observed_event_volumes,ObservedIncompleteSubtotal_L,MissingIrrigationLabels,PlotComplete,ObservedReplicateAnnualVolume_L,n_complete_plots,ObservedAnnualVolume_L,ObservedSampleSD_L,ObservedSE_L,ObservedMinimum_L,ObservedMaximum_L,ObservedAnnualVolumeRangeLow_L,ObservedAnnualVolumeRangeHigh_L,IntervalType,CompletenessDefinition,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2014,CT,2,5,1;2;3;4;5,4,180324.59,5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,False,,,,none
2014,MT,1,5,1;2;3;4;5,3,29741.4,3;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.6,False,,,,none
2014,MT,2,5,1;2;3;4;5,3,53190.6,2;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.6,False,,,,none
2014,ST,1,5,1;2;3;4;5,4,95985.33,5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,False,,,,none
2014,ST,2,5,1;2;3;4;5,4,32207.71,5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,False,,,,none
2015,CT,1,6,1;2;3;4;5;6,6,161759.56,,True,161759.56,2.0,132370.93,41561.79912556481,29388.629999999994,102982.3,161759.56,102982.3,161759.56,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,132.37093,102.98230000000001,161.75956,descriptive replicate minimum-to-maximum range
2015,CT,2,6,1;2;3;4;5;6,6,102982.3,,True,102982.3,2.0,132370.93,41561.79912556481,29388.629999999994,102982.3,161759.56,102982.3,161759.56,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,132.37093,102.98230000000001,161.75956,descriptive replicate minimum-to-maximum range
2015,MT,1,6,1;2;3;4;5;6,6,44151.04,,True,44151.04,2.0,65599.245,30332.342399558427,21448.204999999998,44151.04,87047.45,44151.04,87047.45,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,65.599245,44.15104,87.04745,descriptive replicate minimum-to-maximum range
2015,MT,2,6,1;2;3;4;5;6,6,87047.45,,True,87047.45,2.0,65599.245,30332.342399558427,21448.204999999998,44151.04,87047.45,44151.04,87047.45,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,65.599245,44.15104,87.04745,descriptive replicate minimum-to-maximum range
2015,ST,1,6,1;2;3;4;5;6,6,72482.76,,True,72482.76,2.0,57594.08499999999,21055.76611076524,14888.674999999997,42705.409999999996,72482.76,42705.409999999996,72482.76,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,57.59408499999999,42.70540999999999,72.48276,descriptive replicate minimum-to-maximum range
2015,ST,2,6,1;2;3;4;5;6,6,42705.409999999996,,True,42705.409999999996,2.0,57594.08499999999,21055.76611076524,14888.674999999997,42705.409999999996,72482.76,42705.409999999996,72482.76,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,57.59408499999999,42.70540999999999,72.48276,descriptive replicate minimum-to-maximum range
2016,CT,1,2,1;2,2,89324.87,,True,89324.87,2.0,76612.94499999999,17977.376738869607,12711.925,63901.02,89324.87,63901.02,89324.87,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,76.612945,63.901019999999995,89.32486999999999,descriptive replicate minimum-to-maximum range
2016,CT,2,2,1;2,2,63901.02,,True,63901.02,2.0,76612.94499999999,17977.376738869607,12711.925,63901.02,89324.87,63901.02,89324.87,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,76.612945,63.901019999999995,89.32486999999999,descriptive replicate minimum-to-maximum range
2016,MT,1,2,1;2,2,12879.22,,True,12879.22,2.0,10320.75,3618.2229729246915,2558.469999999999,7762.280000000001,12879.22,7762.280000000001,12879.22,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,10.32075,7.7622800000000005,12.87922,descriptive replicate minimum-to-maximum range
2016,MT,2,2,1;2,2,7762.280000000001,,True,7762.280000000001,2.0,10320.75,3618.2229729246915,2558.469999999999,7762.280000000001,12879.22,7762.280000000001,12879.22,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,10.32075,7.7622800000000005,12.87922,descriptive replicate minimum-to-maximum range
2016,ST,1,2,1;2,2,51067.979999999996,,True,51067.979999999996,2.0,39099.81,16925.5483307868,11968.169999999996,27131.64,51067.979999999996,27131.64,51067.979999999996,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,39.09981,27.13164,51.06798,descriptive replicate minimum-to-maximum range
2016,ST,2,2,1;2,2,27131.64,,True,27131.64,2.0,39099.81,16925.5483307868,11968.169999999996,27131.64,51067.979999999996,27131.64,51067.979999999996,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,39.09981,27.13164,51.06798,descriptive replicate minimum-to-maximum range
2017,CT,1,6,1;2;3;4;5;6,6,198114.47,,True,198114.47,2.0,297527.5,140591.2553026034,99413.03,198114.47,396940.53,198114.47,396940.53,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,297.5275,198.11447,396.94053,descriptive replicate minimum-to-maximum range
2017,CT,2,6,1;2;3;4;5;6,6,396940.53,,True,396940.53,2.0,297527.5,140591.2553026034,99413.03,198114.47,396940.53,198114.47,396940.53,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,297.5275,198.11447,396.94053,descriptive replicate minimum-to-maximum range
2017,MT,1,6,1;2;3;4;5;6,6,94280.58,,True,94280.58,2.0,96214.715,2735.279948460489,1934.1350000000018,94280.58,98148.85,94280.58,98148.85,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,96.214715,94.28058,98.14885000000001,descriptive replicate minimum-to-maximum range
2017,MT,2,6,1;2;3;4;5;6,6,98148.85,,True,98148.85,2.0,96214.715,2735.279948460489,1934.1350000000018,94280.58,98148.85,94280.58,98148.85,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,96.214715,94.28058,98.14885000000001,descriptive replicate minimum-to-maximum range
2017,ST,1,6,1;2;3;4;5;6,6,121835.37000000001,,True,121835.37000000001,2.0,77348.38500000001,62914.09753608845,44486.985,32861.4,121835.37000000001,32861.4,121835.37000000001,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,77.34838500000001,32.8614,121.83537000000001,descriptive replicate minimum-to-maximum range
2017,ST,2,6,1;2;3;4;5;6,6,32861.4,,True,32861.4,2.0,77348.38500000001,62914.09753608845,44486.985,32861.4,121835.37000000001,32861.4,121835.37000000001,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,77.34838500000001,32.8614,121.83537000000001,descriptive replicate minimum-to-maximum range
2018,CT,1,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2018,CT,2,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2018,MT,1,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2018,MT,2,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2018,ST,1,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2018,ST,2,5,1;2;3;4;5,0,,1;2;3;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,CT,1,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,CT,2,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,MT,1,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,MT,2,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,ST,1,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2019,ST,2,1,1,0,,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2020,CT,1,7,1;2;3;4;5;6;7,1,20754.38,1;2;4;5;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.14285714285714285,False,,,,none
2020,CT,2,7,1;2;3;4;5;6;7,1,20754.38,1;2;4;5;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.14285714285714285,False,,,,none
2020,MT,1,7,1;2;3;4;5;6;7,0,,1;2;3;4;5;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2020,MT,2,7,1;2;3;4;5;6;7,0,,1;2;3;4;5;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2020,ST,1,7,1;2;3;4;5;6;7,6,129318.98,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8571428571428571,False,,,,none
2020,ST,2,7,1;2;3;4;5;6;7,1,33839.86,1;2;4;5;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.14285714285714285,False,,,,none
2021,CT,1,6,1;2;3;4;5;6,3,48400.100000000006,4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2021,CT,2,6,1;2;3;4;5;6,2,22303.03,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,,,,none
2021,MT,1,6,1;2;3;4;5;6,3,12654.2,4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2021,MT,2,6,1;2;3;4;5;6,3,50130.59,3;4;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2021,ST,1,6,1;2;3;4;5;6,5,76905.55,6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8333333333333334,False,,,,none
2021,ST,2,6,1;2;3;4;5;6,2,15703.679999999998,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,,,,none
2022,CT,1,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2022,CT,2,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2022,MT,1,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2022,MT,2,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2022,ST,1,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2022,ST,2,8,1;2;3;4;5;6;7;8,0,,1;2;3;4;5;6;7;8,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,,,,none
2023,CT,1,7,1;2;3;4;5;S1;S2,5,213224.78,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2023,CT,2,7,1;2;3;4;5;S1;S2,5,198910.56,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2023,MT,1,7,1;2;3;4;5;S1;S2,5,235983.27000000002,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2023,MT,2,7,1;2;3;4;5;S1;S2,5,225228.78,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2023,ST,1,7,1;2;3;4;5;S1;S2,5,211403.86,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2023,ST,2,7,1;2;3;4;5;S1;S2,5,159167.64,S1;S2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2024,CT,1,4,1;2;3;4,3,118263.38,4,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.75,False,,,,none
2024,CT,2,4,1;2;3;4,2,107456.345,2;3,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2024,MT,1,4,1;2;3;4,2,204279.08000000002,1;2,False,,1.0,189802.435,,,189802.435,189802.435,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,True,189.802435,,,none
2024,MT,2,4,1;2;3;4,4,189802.435,,True,189802.435,1.0,189802.435,,,189802.435,189802.435,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,189.802435,,,none
2024,ST,1,4,1;2;3;4,3,175373.51,2,False,,1.0,207697.25,,,207697.25,207697.25,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.75,True,207.69725,,,none
2024,ST,2,4,1;2;3;4,4,207697.25,,True,207697.25,1.0,207697.25,,,207697.25,207697.25,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,207.69725,,,none
2025,CT,1,8,1;2;3;4;5;6;7;S1,7,314955.865,S1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.875,False,,,,none
2025,CT,2,8,1;2;3;4;5;6;7;S1,7,325203.76999999996,S1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.875,False,,,,none
2025,MT,1,8,1;2;3;4;5;6;7;S1,7,363919.495,S1,False,,1.0,395832.345,,,395832.345,395832.345,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.875,True,395.832345,,,none
2025,MT,2,8,1;2;3;4;5;6;7;S1,8,395832.345,,True,395832.345,1.0,395832.345,,,395832.345,395832.345,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,395.832345,,,none
2025,ST,1,8,1;2;3;4;5;6;7;S1,7,371791.66500000004,S1,False,,1.0,380055.845,,,380055.845,380055.845,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.875,True,380.055845,,,none
2025,ST,2,8,1;2;3;4;5;6;7;S1,8,380055.845,,True,380055.845,1.0,380055.845,,,380055.845,380055.845,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,380.055845,,,none
