Year,Analyte,Treatment,Rep,ExpectedIrrigationLabels,MissingIrrigationLabels,n_expected_physical_events,n_observed_event_loads,ObservedIncompleteSubtotal_kg,PlotComplete,ObservedReplicateAnnualLoad_kg
2012,TSS,CT,1,1;10;2;3;4;5;6;7;8;9,2,10,9,65.34,False,
2012,NH4,CT,2,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,NO2,CT,2,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,NO3,CT,2,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.4094,False,
2012,OP,CT,2,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.008336,False,
2012,Se,CT,2,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TDS,CT,2,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TKN,CT,2,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TN,CT,2,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.157,False,
2012,TP,CT,2,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.1342,False,
2012,TSS,CT,2,1;10;2;3;4;5;6;7;8;9,2;6;8,10,7,78.54,False,
2012,NH4,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,NO2,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,NO3,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;6;8;9,10,5,1.111,False,
2012,OP,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;6;8;9,10,5,0.02759,False,
2012,Se,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TDS,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TKN,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TN,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;6;8;9,10,5,0.3309,False,
2012,TP,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;6;8;9,10,5,0.1741,False,
2012,TSS,MT,1,1;10;2;3;4;5;6;7;8;9,1;10;3;6,10,6,92.76,False,
2012,NH4,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,NO2,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,NO3,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;5;6;8;9,10,4,0.4396,False,
2012,OP,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;5;6;8;9,10,4,0.01274,False,
2012,Se,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TDS,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TKN,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;3;4;5;6;7;8;9,10,1,0,False,
2012,TN,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;5;6;8;9,10,4,0.1399,False,
2012,TP,MT,2,1;10;2;3;4;5;6;7;8;9,1;10;5;6;8;9,10,4,0.08696,False,
2012,TSS,MT,2,1;10;2;3;4;5;6;7;8;9,1;3;5,10,7,48.42,False,
2012,NH4,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,NO2,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,NO3,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;6;7;8;9,10,4,0.2542,False,
2012,OP,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;6;7;8;9,10,4,0.005662,False,
2012,Se,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TDS,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TKN,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TN,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;6;7;8;9,10,4,0.05126,False,
2012,TP,ST,1,1;10;2;3;4;5;6;7;8;9,10;3;6;7;8;9,10,4,0.05802,False,
2012,TSS,ST,1,1;10;2;3;4;5;6;7;8;9,3;6;7,10,7,65.35,False,
2012,NH4,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,NO2,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,NO3,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;6;8;9,10,5,0.5022,False,
2012,OP,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;6;8;9,10,5,0.007977,False,
2012,Se,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TDS,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TKN,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;4;5;6;7;8;9,10,2,0,False,
2012,TN,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;6;8;9,10,5,0.1402,False,
2012,TP,ST,2,1;10;2;3;4;5;6;7;8;9,10;3;6;8;9,10,5,0.154,False,
2012,TSS,ST,2,1;10;2;3;4;5;6;7;8;9,3,10,9,64.21,False,
2013,NH4,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,CT,1,1;2;3;4;5;6;7,1;2;3;5;7,7,2,0.2305,False,
2013,OP,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,CT,1,1;2;3;4;5;6;7,1;2;3;5;7,7,2,0.09141,False,
2013,TN,CT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,CT,1,1;2;3;4;5;6;7,1;2;3;5;7,7,2,0.00472,False,
2013,TSS,CT,1,1;2;3;4;5;6;7,1;2;3;5;7,7,2,6.424,False,
2013,NH4,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,CT,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.4574,False,
2013,OP,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,CT,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.2812,False,
2013,TN,CT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,CT,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.06932,False,
2013,TSS,CT,2,1;2;3;4;5;6;7,1;3;5;7,7,3,144.1,False,
2013,NH4,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,MT,1,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.4762,False,
2013,OP,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,MT,1,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.1868,False,
2013,TN,MT,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,MT,1,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.02281,False,
2013,TSS,MT,1,1;2;3;4;5;6;7,1;3;4;5;7,7,2,52.72,False,
2013,NH4,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,MT,2,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.4419,False,
2013,OP,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,MT,2,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.2291,False,
2013,TN,MT,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,MT,2,1;2;3;4;5;6;7,1;3;4;5;7,7,2,0.04134,False,
2013,TSS,MT,2,1;2;3;4;5;6;7,1;3;4;5;7,7,2,68.55,False,
2013,NH4,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,ST,1,1;2;3;4;5;6;7,1;3;5;7,7,3,0.5891,False,
2013,OP,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,ST,1,1;2;3;4;5;6;7,1;3;5;7,7,3,0.182,False,
2013,TN,ST,1,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,ST,1,1;2;3;4;5;6;7,1;3;5;7,7,3,0.006427,False,
2013,TSS,ST,1,1;2;3;4;5;6;7,1;3;5;7,7,3,17.08,False,
2013,NH4,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO2,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,NO3,ST,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.3691,False,
2013,OP,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,Se,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TDS,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TKN,ST,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.2081,False,
2013,TN,ST,2,1;2;3;4;5;6;7,1;2;3;4;5;6;7,7,0,-,False,
2013,TP,ST,2,1;2;3;4;5;6;7,1;3;5;7,7,3,0.01672,False,
2013,TSS,ST,2,1;2;3;4;5;6;7,1;3;5;7,7,3,22.55,False,
2014,NH4,CT,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO2,CT,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO3,CT,1,1;2;3;4;5,2;5,5,3,0.6908,False,
2014,OP,CT,1,1;2;3;4;5,2;5,5,3,0.01108,False,
2014,Se,CT,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TDS,CT,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TKN,CT,1,1;2;3;4;5,2;5,5,3,0.3743,False,
2014,TN,CT,1,1;2;3;4;5,2;5,5,3,0.4153,False,
2014,TP,CT,1,1;2;3;4;5,2;5,5,3,0.08393,False,
2014,TSS,CT,1,1;2;3;4;5,2;5,5,3,67.42,False,
2014,NH4,CT,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO2,CT,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO3,CT,2,1;2;3;4;5,2;5,5,3,1.574,False,
2014,OP,CT,2,1;2;3;4;5,2;5,5,3,0.02255,False,
2014,Se,CT,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TDS,CT,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TKN,CT,2,1;2;3;4;5,2;5,5,3,0.8479,False,
2014,TN,CT,2,1;2;3;4;5,2;5,5,3,1.202,False,
2014,TP,CT,2,1;2;3;4;5,2;5,5,3,0.2325,False,
2014,TSS,CT,2,1;2;3;4;5,2;5,5,3,242.1,False,
2014,NH4,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,NO2,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,NO3,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,OP,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,Se,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TDS,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TKN,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TN,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TP,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TSS,MT,1,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,NH4,MT,2,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,NO2,MT,2,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,NO3,MT,2,1;2;3;4;5,2;4;5,5,2,0.05475,False,
2014,OP,MT,2,1;2;3;4;5,2;4;5,5,2,0.004085,False,
2014,Se,MT,2,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TDS,MT,2,1;2;3;4;5,2;3;4;5,5,1,0,False,
2014,TKN,MT,2,1;2;3;4;5,2;4;5,5,2,0.03215,False,
2014,TN,MT,2,1;2;3;4;5,2;4;5,5,2,0.03287,False,
2014,TP,MT,2,1;2;3;4;5,2;4;5,5,2,0.005534,False,
2014,TSS,MT,2,1;2;3;4;5,2;4;5,5,2,1.713,False,
2014,NH4,ST,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO2,ST,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO3,ST,1,1;2;3;4;5,2;5,5,3,0.7034,False,
2014,OP,ST,1,1;2;3;4;5,2;5,5,3,0.008479,False,
2014,Se,ST,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TDS,ST,1,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TKN,ST,1,1;2;3;4;5,2;5,5,3,0.3826,False,
2014,TN,ST,1,1;2;3;4;5,2;5,5,3,0.3937,False,
2014,TP,ST,1,1;2;3;4;5,2;5,5,3,0.09394,False,
2014,TSS,ST,1,1;2;3;4;5,2;5,5,3,80.07,False,
2014,NH4,ST,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO2,ST,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,NO3,ST,2,1;2;3;4;5,2;5,5,3,0.2211,False,
2014,OP,ST,2,1;2;3;4;5,2;5,5,3,0.002302,False,
2014,Se,ST,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TDS,ST,2,1;2;3;4;5,1;2;3;4;5,5,0,-,False,
2014,TKN,ST,2,1;2;3;4;5,2;5,5,3,0.1234,False,
2014,TN,ST,2,1;2;3;4;5,2;5,5,3,0.1297,False,
2014,TP,ST,2,1;2;3;4;5,2;5,5,3,0.01739,False,
2014,TSS,ST,2,1;2;3;4;5,2;5,5,3,14.66,False,
2015,NH4,CT,1,1;2;3;4;5;6,4,6,5,0.01009,False,
2015,NO2,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,CT,1,1;2;3;4;5;6,4,6,5,0.9597,False,
2015,OP,CT,1,1;2;3;4;5;6,4,6,5,0.008401,False,
2015,Se,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,CT,1,1;2;3;4;5;6,,6,6,0.2009,True,0.20091683236
2015,TN,CT,1,1;2;3;4;5;6,4,6,5,1.062,False,
2015,TP,CT,1,1;2;3;4;5;6,,6,6,0.2269,True,0.2269471951799999
2015,TSS,CT,1,1;2;3;4;5;6,,6,6,278.9,True,278.915555463595
2015,NH4,CT,2,1;2;3;4;5;6,4,6,5,0.007237,False,
2015,NO2,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,CT,2,1;2;3;4;5;6,4,6,5,0.7968,False,
2015,OP,CT,2,1;2;3;4;5;6,4,6,5,0.00455,False,
2015,Se,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,CT,2,1;2;3;4;5;6,,6,6,0.1152,True,0.1152110935299997
2015,TN,CT,2,1;2;3;4;5;6,4,6,5,0.8824,False,
2015,TP,CT,2,1;2;3;4;5;6,,6,6,0.1147,True,0.11467546164
2015,TSS,CT,2,1;2;3;4;5;6,,6,6,153.2,True,153.18944595037001
2015,NH4,MT,1,1;2;3;4;5;6,4,6,5,0.003175,False,
2015,NO2,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,MT,1,1;2;3;4;5;6,4,6,5,0.2611,False,
2015,OP,MT,1,1;2;3;4;5;6,4,6,5,0.001306,False,
2015,Se,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,MT,1,1;2;3;4;5;6,,6,6,0.01947,True,0.019471610219999998
2015,TN,MT,1,1;2;3;4;5;6,4,6,5,0.289,False,
2015,TP,MT,1,1;2;3;4;5;6,,6,6,0.02109,True,0.0210914768499998
2015,TSS,MT,1,1;2;3;4;5;6,,6,6,16.25,True,16.249978598865
2015,NH4,MT,2,1;2;3;4;5;6,4,6,5,0.006348,False,
2015,NO2,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,MT,2,1;2;3;4;5;6,4,6,5,0.5053,False,
2015,OP,MT,2,1;2;3;4;5;6,4,6,5,0.003013,False,
2015,Se,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,MT,2,1;2;3;4;5;6,,6,6,0.04689,True,0.046888497200000004
2015,TN,MT,2,1;2;3;4;5;6,4,6,5,0.5628,False,
2015,TP,MT,2,1;2;3;4;5;6,,6,6,0.02748,True,0.0274782482699997
2015,TSS,MT,2,1;2;3;4;5;6,,6,6,22.12,True,22.117327326995003
2015,NH4,ST,1,1;2;3;4;5;6,4,6,5,0.00397,False,
2015,NO2,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,ST,1,1;2;3;4;5;6,4,6,5,0.3989,False,
2015,OP,ST,1,1;2;3;4;5;6,4,6,5,0.003442,False,
2015,Se,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,ST,1,1;2;3;4;5;6,,6,6,0.02522,True,0.0252231435399997
2015,TN,ST,1,1;2;3;4;5;6,4,6,5,0.4401,False,
2015,TP,ST,1,1;2;3;4;5;6,,6,6,0.01648,True,0.0164841505199998
2015,TSS,ST,1,1;2;3;4;5;6,,6,6,8.022,True,8.021525407385
2015,NH4,ST,2,1;2;3;4;5;6,4,6,5,0.002786,False,
2015,NO2,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,NO3,ST,2,1;2;3;4;5;6,4,6,5,0.2366,False,
2015,OP,ST,2,1;2;3;4;5;6,4,6,5,0.001573,False,
2015,Se,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TDS,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2015,TKN,ST,2,1;2;3;4;5;6,,6,6,0.02245,True,0.022446409369999698
2015,TN,ST,2,1;2;3;4;5;6,4,6,5,0.269,False,
2015,TP,ST,2,1;2;3;4;5;6,,6,6,0.01127,True,0.0112683874
2015,TSS,ST,2,1;2;3;4;5;6,,6,6,4.495,True,4.4946366563
2016,NH4,CT,1,1;2,,2,2,0.005725,True,0.00572517773
2016,NO2,CT,1,1;2,1;2,2,0,-,False,
2016,NO3,CT,1,1;2,,2,2,0.4533,True,0.453281786985
2016,OP,CT,1,1;2,,2,2,0.005793,True,0.0057927691099998995
2016,Se,CT,1,1;2,1;2,2,0,-,False,
2016,TDS,CT,1,1;2,1;2,2,0,-,False,
