output_file,column,definition,unit,calculation,source
input_audit.csv,minimum_load_source_units,Minimum load source units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,maximum_load_source_units,Maximum load source units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,negative_load_count,Negative load count.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,negative_load_fraction,Negative load fraction.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,source_model_version,Source model version.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
unit_of_analysis_audit.csv,metric,Metric.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
unit_of_analysis_audit.csv,value,Value.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
unit_of_analysis_audit.csv,interpretation,Interpretation.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,summary_file,Summary file.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,draw_file,Draw file.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,metric,Metric.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,saved_definition,Saved definition.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,recomputed_definition,Recomputed definition.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,n_groups,N groups.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,max_absolute_difference_source_units,Max absolute difference source units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,median_absolute_relative_difference,Median absolute relative difference.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,p95_absolute_relative_difference,P95 absolute relative difference.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,relative_difference_denominator,Relative difference denominator.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,exact_reconciliation,Exact reconciliation.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_summary_reconciliation.csv,explanation,Explanation.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,sensitivity_variant,Post-processing interpretation of saved draws.,category,Bayes A/B or unchanged saved ML imputation draws.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,treatment,Management treatment group.,category,"CT, MT, or ST.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,first_included_year,First included year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,last_included_year,Last included year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,n_included_years,N included years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,missing_years,Missing years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,n_draws,N draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,mean_cumulative_load_kg,Mean 2011–2025 cumulative modeled load across draws.,kg,"Sum annual draws within draw, then mean.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,median_cumulative_load_kg,Median cumulative modeled load across draws.,kg,Median after within-draw annual summation.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,lower_95_raw_kg,Unmodified 2.5th percentile of cumulative draws.,kg,Quantile 0.025.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,lower_95_display_kg,Publication lower bound; Variant A alone floors a negative raw lower bound to zero.,kg,"max(raw lower, 0) only for Bayes Variant A.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,upper_95_kg,97.5th percentile of cumulative draws.,kg,Quantile 0.975.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,interval_probability,Interval probability.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,n_input_annual_draws,N input annual draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,n_input_annual_draws_below_zero,N input annual draws below zero.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,fraction_input_annual_draws_below_zero,Fraction input annual draws below zero.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,n_cumulative_draws_below_zero,N cumulative draws below zero.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,fraction_cumulative_draws_below_zero,Fraction cumulative draws below zero.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,source_file,Source file.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,source_units,Source units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,output_units,Output units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,conversion_factor_to_kg,Conversion factor to kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,provisional_qc_flag,Provisional qc flag.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
study_period_cumulative_loads_raw.csv,provisional_qc_reason,Provisional qc reason.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,sensitivity_variant,Post-processing interpretation of saved draws.,category,Bayes A/B or unchanged saved ML imputation draws.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,reference_treatment,Reference treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,comparison_treatment,Comparison treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_aligned_draws,N aligned draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_finite_absolute_difference_draws,N finite absolute difference draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_valid_percent_draws,N valid percent draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,fraction_valid_percent_draws,Fraction valid percent draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_invalid_missing_or_nonfinite_ct_draws,N invalid missing or nonfinite ct draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_invalid_zero_ct_draws,N invalid zero ct draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_invalid_negative_ct_draws,N invalid negative ct draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,n_invalid_tiny_positive_ct_draws,N invalid tiny positive ct draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,ct_tiny_threshold_kg,Ct tiny threshold kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,mean_absolute_difference_kg,Mean absolute difference kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,median_absolute_difference_kg,Median absolute difference kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,lower_95_absolute_difference_kg,Lower 95 absolute difference kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,upper_95_absolute_difference_kg,Upper 95 absolute difference kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,mean_percent_difference_relative_to_ct,Mean draw-level percent difference relative to CT; positive means lower than CT.,%,100 × (CT − T) / CT for valid CT draws.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,median_percent_difference_relative_to_ct,Median percent difference relative to ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,lower_95_percent_difference_relative_to_ct,Lower 95 percent difference relative to ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,upper_95_percent_difference_relative_to_ct,Upper 95 percent difference relative to ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,probability_treatment_load_lower_than_ct,Fraction of valid aligned draws with treatment load below CT.,probability,mean(T < CT).,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,percent_difference_formula,Percent difference formula.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,provisional_qc_flag,Provisional qc flag.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
treatment_differences_vs_ct_raw.csv,provisional_qc_reason,Provisional qc reason.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,treatment,Management treatment group.,category,"CT, MT, or ST.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,observed_value_label,Observed value label.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,observed_subtotal_kg,Sum of defensible saved observed annual subtotals.,kg,"Sum load_mean in g and divide by 1,000.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,first_observed_year,First observed year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,last_observed_year,Last observed year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,n_observed_annual_values,N observed annual values.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,missing_years,Missing years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,n_contributing_events,N contributing events.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,n_contributing_rows,N contributing rows.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,source_file,Source file.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,source_units,Source units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,output_units,Output units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,conversion_factor_to_kg,Conversion factor to kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,coverage_warning,Coverage warning.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,provisional_qc_flag,Provisional qc flag.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_study_period_subtotals_raw.csv,provisional_qc_reason,Provisional qc reason.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,comparison_treatment,Comparison treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,reference_treatment,Reference treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,observed_subtotal_absolute_difference_kg,Observed subtotal absolute difference kg.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,observed_subtotal_percent_difference_relative_to_ct,Observed subtotal percent difference relative to ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,valid_ct_denominator,Valid ct denominator.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
observed_subtotal_differences_vs_ct_raw.csv,interpretation_warning,Interpretation warning.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Observed CT subtotal, kg (years)","Observed ct subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Bayes CT, kg [95% interval]","Bayes ct, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"ML CT, kg [95% interval]","Ml ct, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Observed MT subtotal, kg (years)","Observed mt subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Bayes MT, kg [95% interval]","Bayes mt, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"ML MT, kg [95% interval]","Ml mt, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Observed ST subtotal, kg (years)","Observed st subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Bayes ST, kg [95% interval]","Bayes st, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"ML ST, kg [95% interval]","Ml st, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Bayes MT vs CT, percent difference [95% interval]","Bayes mt vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"ML MT vs CT, percent difference [95% interval]","Ml mt vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"Bayes ST vs CT, percent difference [95% interval]","Bayes st vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,"ML ST vs CT, percent difference [95% interval]","Ml st vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_raw_bound_floor_pub.csv,QC status,Qc status.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Observed CT subtotal, kg (years)","Observed ct subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Bayes CT, kg [95% interval]","Bayes ct, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"ML CT, kg [95% interval]","Ml ct, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Observed MT subtotal, kg (years)","Observed mt subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Bayes MT, kg [95% interval]","Bayes mt, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"ML MT, kg [95% interval]","Ml mt, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Observed ST subtotal, kg (years)","Observed st subtotal, kg (years).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Bayes ST, kg [95% interval]","Bayes st, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"ML ST, kg [95% interval]","Ml st, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Bayes MT vs CT, percent difference [95% interval]","Bayes mt vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"ML MT vs CT, percent difference [95% interval]","Ml mt vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"Bayes ST vs CT, percent difference [95% interval]","Bayes st vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,"ML ST vs CT, percent difference [95% interval]","Ml st vs ct, percent difference [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
master_cumulative_loads_annual_truncation_pub.csv,QC status,Qc status.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Treatment,Treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Negative annual draws, n (%)","Negative annual draws, n (%).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Variant A cumulative, kg [95% display interval]","Variant a cumulative, kg [95% display interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
